position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Ismael Arenas Espinoza,,,No hay reseñas,,,667 713 2413,http://notaria162.com/,Cerrado,,,,https://www.google.com/maps/place/Ismael+Arenas+Espinoza/data=!4m7!3m6!1s0x86bcd9fdabfce841:0x5b7ab13d5ef33cb8!8m2!3d24.8197651!4d-107.3762231!16s%2Fg%2F1td4kkcm!19sChIJQej8q_3ZvIYRuDzzXj2xels?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
2,Abogado en Culiacán CRS Abogados Servicios Legales de Expertos,5,,Servicios legales,,,667 195 8031,https://crsabogados.com/,· Cierra a las 6 p.m.,,,,https://www.google.com/maps/place/Abogado+en+Culiac%C3%A1n+CRS+Abogados+Servicios+Legales+de+Expertos/data=!4m7!3m6!1s0x86bcdb4091dc1dbd:0xae36abc0284b6732!8m2!3d24.8081727!4d-107.4490213!16s%2Fg%2F11fjz6ycj4!19sChIJvR3ckUDbvIYRMmdLKMCrNq4?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
3,Consultores & Estrategas Jurídicos,4.7,,Abogado,,,55 8342 8098,https://www.abogadoscej.com/asesorialegal,· Cierra a las 9:30 p.m.,,,,https://www.google.com/maps/place/Consultores+%26+Estrategas+Jur%C3%ADdicos/data=!4m7!3m6!1s0x85d1f8cefa6e4a49:0x55655549d7953d7!8m2!3d19.4354424!4d-99.1558287!16s%2Fg%2F11clgt_g47!19sChIJSUpu-s740YUR11N5nVRVVgU?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
4,Soluciones Jurídicas Lic. Víctor Carrillo Estrada,4.6,,Abogado,,,55 1798 4108,http://www.solucionesjuridicas.com.mx/,Abierto las 24 horas,,,,https://www.google.com/maps/place/Soluciones+Jur%C3%ADdicas+Lic.+V%C3%ADctor+Carrillo+Estrada/data=!4m7!3m6!1s0x85d1ff15ce294183:0x554e231b56d3de4f!8m2!3d19.406757!4d-99.1629553!16s%2Fg%2F1td7nnx3!19sChIJg0EpzhX_0YURT97TVhsjTlU?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
5,Molina Castrejon Abogados,4.5,,Servicios legales,,,55 4161 0815,https://abogadosmercantiles.com.mx/,Abierto las 24 horas,,,,https://www.google.com/maps/place/Molina+Castrejon+Abogados/data=!4m7!3m6!1s0x85d1ff84d5965ee1:0xd9b2e9b90d8b221f!8m2!3d19.4273231!4d-99.1654703!16s%2Fg%2F11b75fwlsp!19sChIJ4V6W1YT_0YURHyKLDbnpstk?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
6,Cervantes Estudio de Abogados,4.2,,Bufete,,,55 9178 5040,https://cervantesabogados.mx/,· Cierra a las 8 p.m.,,,,https://www.google.com/maps/place/Cervantes+Estudio+de+Abogados/data=!4m7!3m6!1s0x85d201f639a79f51:0x48605e9dff795e8b!8m2!3d19.4240425!4d-99.1757592!16s%2Fg%2F1tdk5jf5!19sChIJUZ-nOfYB0oURi155_51eYEg?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
7,Despacho Legal Aveiro,5,,Bufete,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Despacho+Legal+Aveiro/data=!4m7!3m6!1s0x85d1ffac54c155ef:0x70b8091d0b4178a3!8m2!3d19.4225945!4d-99.1284545!16s%2Fg%2F11vf7jk1s7!19sChIJ71XBVKz_0YURo3hBCx0JuHA?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
8,Confiabogado - Abogados y asesoría legal,4.4,,Abogado,,,,http://abogadosencdmx.com/,· Cierra a las 9 p.m.,,,,https://www.google.com/maps/place/Confiabogado+-+Abogados+y+asesor%C3%ADa+legal/data=!4m7!3m6!1s0x85d203415a7a05f3:0x50a839a7b4fe12e7!8m2!3d19.4157454!4d-99.1645432!16s%2Fg%2F11rfpw9h7x!19sChIJ8wV6WkED0oUR5xL-tKc5qFA?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
9,Bufete de Abogados Estrategias Jurídicas,4.9,,Abogado,,,,https://www.bufetedeabogadosej.com.mx/,Cerrado,,,,https://www.google.com/maps/place/Bufete+de+Abogados+Estrategias+Jur%C3%ADdicas/data=!4m7!3m6!1s0x85d1ff288b095b9d:0x6e340bf054a2b0fd!8m2!3d19.4236231!4d-99.1542405!16s%2Fg%2F11flc0rh4x!19sChIJnVsJiyj_0YUR_bCiVPALNG4?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
10,Bufete Maldonado Ponce Abogados,5,,Abogado,,,55 7162 2103,,Cerrado,,,,https://www.google.com/maps/place/Bufete+Maldonado+Ponce+Abogados/data=!4m7!3m6!1s0x85d1ff9a0816ba5b:0x719727be809699f1!8m2!3d19.4182827!4d-99.161767!16s%2Fg%2F11j4q8x902!19sChIJW7oWCJr_0YUR8ZmWgL4nl3E?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
11,"Punto Fino Abogados, S.C.",4.9,,,,,55 5293 9279,http://www.puntofino.mx/,Cerrado,,,,"https://www.google.com/maps/place/Punto+Fino+Abogados,+S.C./data=!4m7!3m6!1s0x85d1ff6a799a6af5:0x5c4325408dd185c0!8m2!3d19.3957876!4d-99.1806575!16s%2Fg%2F11flzkz5kh!19sChIJ9WqaeWr_0YURwIXRjUAlQ1w?authuser=0&hl=es&rclk=1",2026-01-11T22:31:06.641Z
12,Oaxaca & Asociados,5,,Eje 3 Sur 67-502,,,55 3227 6122,,· Cierra a las 11:30 p.m.,,,,https://www.google.com/maps/place/Oaxaca+%26+Asociados/data=!4m7!3m6!1s0x85d1ff17b25ea1f9:0x7d05aa22e4b49931!8m2!3d19.4065177!4d-99.1592641!16s%2Fg%2F11b7qt3xph!19sChIJ-aFeshf_0YURMZm05CKqBX0?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
13,"Despacho Jurídico Chávez Cleto & ASOCIADOS (Abogados Civill, Familiar, Penal, Mercantil, Laboral (CDMX, EDOMEX, INT DE MÉX) )",4.9,,Abogado,,,55 1772 1395,https://licerickgiovanni.wixsite.com/my-site,,,,,"https://www.google.com/maps/place/Despacho+Jur%C3%ADdico+Ch%C3%A1vez+Cleto+%26+ASOCIADOS+%28Abogados+Civill,+Familiar,+Penal,+Mercantil,+Laboral+%28CDMX,+EDOMEX,+INT+DE+M%C3%89X%29+%29/data=!4m7!3m6!1s0x85d1f9adc3ed58d5:0x8e9bb862b518f1cc!8m2!3d19.4382474!4d-99.1559398!16s%2Fg%2F11md38w3p4!19sChIJ1Vjtw6350YURzPEYtWK4m44?authuser=0&hl=es&rclk=1",2026-01-11T22:31:06.641Z
14,cdmx.abogado,4.3,,Servicios legales,,"· Nte. 64-A 5206, LT accesoria",55 8588 1275,https://cdmx-abogado.com/,Abierto las 24 horas,,,,https://www.google.com/maps/place/cdmx.abogado/data=!4m7!3m6!1s0x85d1f9ff4c70ec23:0x5786c785df61d039!8m2!3d19.4636471!4d-99.110652!16s%2Fg%2F11hzs8_4b7!19sChIJI-xwTP_50YUROdBh34XHhlc?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
15,Robles & Robles Abogados,5,,Abogado,,,55 2951 8851,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Robles+%26+Robles+Abogados/data=!4m7!3m6!1s0x85d1f8dc90733b95:0x10dfce28947302db!8m2!3d19.4637207!4d-99.1738193!16s%2Fg%2F11c5zsjsjm!19sChIJlTtzkNz40YUR2wJzlCjO3xA?authuser=0&hl=es&rclk=1,2026-01-11T22:31:06.641Z
16,"Mijares Angoitia Cortés y Fuentes, S.C. (Mijares Abogados)",4.9,,Bufete,,,55 5201 7400,http://www.mijares.mx/,,,,,"https://www.google.com/maps/place/Mijares+Angoitia+Cort%C3%A9s+y+Fuentes,+S.C.+%28Mijares+Abogados%29/data=!4m7!3m6!1s0x85d201f66d7b8697:0x5f7ef31bd65af346!8m2!3d19.364667!4d-99.2597309!16s%2Fg%2F1tfq4_mw!19sChIJl4Z7bfYB0oURRvNa1hvzfl8?authuser=0&hl=es&rclk=1",2026-01-11T22:31:06.641Z
