position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Agricola Paredes SAPI de CV,4.8,,Oficinas de empresa,,"· 80000, P.º Niños Heroes 520","80000, P.º Niños Heroes 520",,Cerrado,,,,https://www.google.com/maps/place/Agricola+Paredes+SAPI+de+CV/data=!4m7!3m6!1s0x86bcd0abc9be4439:0xb5a30b415d7d6f8b!8m2!3d24.8123073!4d-107.3894653!16s%2Fg%2F11g718zxb1!19sChIJOUS-yavQvIYRi299XUELo7U?authuser=0&hl=es&rclk=1,2026-01-11T22:35:53.427Z
2,"AGRICOLA DE GALA, S.A. DE C.V.",4.8,,C. Epitacio Osuna Poniente 1202,,,667 714 1944,http://agrigala.com/,,,,,"https://www.google.com/maps/place/AGRICOLA+DE+GALA,+S.A.+DE+C.V./data=!4m7!3m6!1s0x86bcd0bd266b08b5:0xa3cd36f7b36b5d71!8m2!3d24.801347!4d-107.4059667!16s%2Fg%2F1tnbll0c!19sChIJtQhrJr3QvIYRcV1rs_c2zaM?authuser=0&hl=es&rclk=1",2026-01-11T22:35:53.427Z
3,Confederación de Asociaciones Agrícolas del Estado de Sinaloa,4.6,,Asociación u organización,,,667 712 9562,http://www.caades.org.mx/,,,,,https://www.google.com/maps/place/Confederaci%C3%B3n+de+Asociaciones+Agr%C3%ADcolas+del+Estado+de+Sinaloa/data=!4m7!3m6!1s0x86bcd9fbb5a1a703:0x31951853810793a2!8m2!3d24.8111479!4d-107.3960707!16s%2Fg%2F1v1tnj6x!19sChIJA6ehtfvZvIYRopMHgVMYlTE?authuser=0&hl=es&rclk=1,2026-01-11T22:35:53.427Z
4,Agrícola Ritz,5,,Granja,,,667 713 6900,http://ritz.com.mx/,,,,,https://www.google.com/maps/place/Agr%C3%ADcola+Ritz/data=!4m7!3m6!1s0x86bcd0a8a3226a2f:0x181210fce20a3376!8m2!3d24.8105113!4d-107.3962947!16s%2Fg%2F1tdyr6zs!19sChIJL2oio6jQvIYRdjMK4vwQEhg?authuser=0&hl=es&rclk=1,2026-01-11T22:35:53.427Z
5,Capaciagro,5,,Servicio agrícola,,,667 712 5697,http://capaciagro.com/,Cerrado,,,,https://www.google.com/maps/place/Capaciagro/data=!4m7!3m6!1s0x86bcda0ffaca3611:0xf6a68c1124a9a783!8m2!3d24.8158559!4d-107.369542!16s%2Fg%2F11ggw9dn3x!19sChIJETbK-g_avIYRg6epJBGMpvY?authuser=0&hl=es&rclk=1,2026-01-11T22:35:53.427Z
6,Agrícola Buen Año,4.3,,Agricultura y ganadería,,,667 718 9663,,,,,,https://www.google.com/maps/place/Agr%C3%ADcola+Buen+A%C3%B1o/data=!4m7!3m6!1s0x86bcd75870130b99:0xe072c776b6743b7f!8m2!3d24.8062354!4d-107.4090703!16s%2Fg%2F1tf820wz!19sChIJmQsTcFjXvIYRfzt0tnbHcuA?authuser=0&hl=es&rclk=1,2026-01-11T22:35:53.427Z
7,AGROMERKA,5,,Servicio agrícola,,,667 716 8966,https://www.facebook.com/Agromerka/,Cerrado,,,,https://www.google.com/maps/place/AGROMERKA/data=!4m7!3m6!1s0x86bcd0ac5d7cb341:0x3aa7dcca8b65b68a!8m2!3d24.8085403!4d-107.3885012!16s%2Fg%2F11fy4y3b8m!19sChIJQbN8XazQvIYRirZli8rcpzo?authuser=0&hl=es&rclk=1,2026-01-11T22:35:53.428Z
8,Semillas el Ranchito,4.2,,Proveedor de equipos agrícolas,,,667 716 8680,https://www.facebook.com/Semillas-El-Ranchito-108994458365528,Cerrado,,,,https://www.google.com/maps/place/Semillas+el+Ranchito/data=!4m7!3m6!1s0x86bcd0ac64872db1:0xf9d03cda7181c108!8m2!3d24.8087459!4d-107.3895726!16s%2Fg%2F1thz22pt!19sChIJsS2HZKzQvIYRCMGBcdo80Pk?authuser=0&hl=es&rclk=1,2026-01-11T22:35:53.428Z
9,Granos Y Semillas Jac,4,,Proveedor de equipos agrícolas,,,,,,,,,https://www.google.com/maps/place/Granos+Y+Semillas+Jac/data=!4m7!3m6!1s0x86bcd7593f5d848b:0x957044c0d67e5496!8m2!3d24.8138871!4d-107.3683398!16s%2Fg%2F11j1hylxqk!19sChIJi4RdP1nXvIYRllR-1sBEcJU?authuser=0&hl=es&rclk=1,2026-01-11T22:35:53.428Z
10,PROAGRO,4.8,,,,,667 846 5500,http://www.somosproagro.mx/,Cerrado,,,,https://www.google.com/maps/place/PROAGRO/data=!4m7!3m6!1s0x86bcd094012a5507:0xb6ad2d22006f9513!8m2!3d24.7941207!4d-107.4162292!16s%2Fg%2F1tvdk6zx!19sChIJB1UqAZTQvIYRE5VvACItrbY?authuser=0&hl=es&rclk=1,2026-01-11T22:35:53.428Z
