position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Dental Clínica Culiacán,5,,Dentista,,,667 423 1118,https://www.facebook.com/profile.php?id=100089680685142,Abierto las 24 horas,,,,https://www.google.com/maps/place/Dental+Cl%C3%ADnica+Culiac%C3%A1n/data=!4m7!3m6!1s0x86bcd7925c4a2489:0xa67500491af5798a!8m2!3d24.8089401!4d-107.3748878!16s%2Fg%2F11lnt7ds9v!19sChIJiSRKXJLXvIYRinn1GkkAdaY?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
2,Asmildent | Dentistas en Culiacán.,5,,Dentista,,"· Blvd. Francisco I. Madero, Indio de Guelatao 1300",667 641 7711,https://dentistaculiacan.com.mx/,· Cierra a las 8 p.m.,,,,https://www.google.com/maps/place/Asmildent+%7C+Dentistas+en+Culiac%C3%A1n./data=!4m7!3m6!1s0x86bcd725d44c9919:0xb14ceb8478b0094a!8m2!3d24.8045097!4d-107.377474!16s%2Fg%2F11p12jgtmv!19sChIJGZlM1CXXvIYRSgmweITrTLE?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
3,Dental Tamayo,5,,Dentista,,,667 273 3852,,· Cierra a las 5 p.m.,,,,https://www.google.com/maps/place/Dental+Tamayo/data=!4m7!3m6!1s0x86bcd744239b504f:0x374caea54651ca48!8m2!3d24.7643545!4d-107.3815413!16s%2Fg%2F11tmhmj0hn!19sChIJT1CbI0TXvIYRSMpRRqWuTDc?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
4,Dentista en Culiacán - Especialidades Dentales Sanalona,5,,Dentista,,"· plaza meviz Nos encontramos en planta alta a un lado del barbero, Blvd. Francisco I. Madero 2321",667 163 3192,https://linktr.ee/eds.dental,Cerrado,,,,https://www.google.com/maps/place/Dentista+en+Culiac%C3%A1n+-+Especialidades+Dentales+Sanalona/data=!4m7!3m6!1s0x86bcd7698bb8a2d7:0xa568b5c06871a352!8m2!3d24.8021247!4d-107.3594258!16s%2Fg%2F11g6nkkcvv!19sChIJ16K4i2nXvIYRUqNxaMC1aKU?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
5,Implantes Dentales y Ortodoncia (Con Diseño de Sonrisa) Dr. César Contreras C.,4.8,,Ortodoncista,,,667 167 1709,https://m.facebook.com/drcesarcontrerasc,Cerrado,,,,https://www.google.com/maps/place/Implantes+Dentales+y+Ortodoncia+%28Con+Dise%C3%B1o+de+Sonrisa%29+Dr.+C%C3%A9sar+Contreras+C./data=!4m7!3m6!1s0x86bcd0c96fcfc72b:0x74a93cc14e15355b!8m2!3d24.8085522!4d-107.3909319!16s%2Fg%2F1vxcwvy1!19sChIJK8fPb8nQvIYRWzUVTsE8qXQ?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
6,DM Clinica Dental,5,,Dentista,,,667 100 9167,,Cerrado,,,,https://www.google.com/maps/place/DM+Clinica+Dental/data=!4m7!3m6!1s0x86bcd77c36b40c3d:0x6c8eedbfd403b2ae!8m2!3d24.7994102!4d-107.3611818!16s%2Fg%2F11fltn7nlp!19sChIJPQy0NnzXvIYRrrID1L_tjmw?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
7,Dentista,5,,Dentista,,,,,Cerrado,,,,https://www.google.com/maps/place/Dentista/data=!4m7!3m6!1s0x86bcd76a2659801b:0x2a8d55234158e094!8m2!3d24.8018241!4d-107.3591746!16s%2Fg%2F11vk0db14f!19sChIJG4BZJmrXvIYRlOBYQSNVjSo?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
8,iDentista,5,,Dentista,,"· Esquina con, AV. Álvaro Obregón, Tepehuajes 6321",667 372 0397,,Cerrado,,,,https://www.google.com/maps/place/iDentista/data=!4m7!3m6!1s0x86bcdb5e4b7d9a3b:0x1dac3b382cac0697!8m2!3d24.861143!4d-107.3934941!16s%2Fg%2F11h4vw1q2q!19sChIJO5p9S17bvIYRlwasLDg7rB0?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
9,Estudio Clínico Estetico,5,,Dentista cosmético,,,667 756 1528,https://wa.me/message/CF76JBGJ24ZKH1,Cerrado,,,,https://www.google.com/maps/place/Estudio+Cl%C3%ADnico+Estetico/data=!4m7!3m6!1s0x86bcd12f467a0093:0x37b32b4b2a1a4fb3!8m2!3d24.7928254!4d-107.3933725!16s%2Fg%2F11rcng724s!19sChIJkwB6Ri_RvIYRs08aKksrszc?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
10,DENTAL SIGLO XXI,4.5,,Dentista,,,667 712 3019,http://dentalsigloxxi.com.mx/,Cerrado,,,,https://www.google.com/maps/place/DENTAL+SIGLO+XXI/data=!4m7!3m6!1s0x86bcd0c856058a5b:0x7d43f46a17e7626b!8m2!3d24.7892623!4d-107.3941748!16s%2Fg%2F11c1xpd4jh!19sChIJW4oFVsjQvIYRa2LnF2r0Q30?authuser=0&hl=es&rclk=1,2026-01-11T22:30:16.676Z
