position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Resultados,,,,,,,,,,,,https://www.google.com/maps/search/esteticas%20en%20culiacan%2C%20M%C3%A9xico,2026-01-12T23:25:26.213Z
2,Studio De Belleza Express,5,,Centro de estética,,"Blvrd Sinaloa, Las Quintas, 80060 Culiacán Rosales, Sin.",,,,,,,https://www.google.com/maps/search/esteticas%20en%20culiacan%2C%20M%C3%A9xico,2026-01-12T23:25:26.582Z
3,Estética Gladys,5,,Centro de estética,,"Blvrd Sinaloa 1408, Las Quintas, 80060 Culiacán Rosales, Sin.",667 712 4959,,,,,"RJ9G+57 Culiacán Rosales, Sinaloa",https://www.google.com/maps/search/esteticas%20en%20culiacan%2C%20M%C3%A9xico,2026-01-12T23:25:27.170Z
4,Central de Belleza Culiacán,4.3,,Centro de estética,,"Blvrd Sinaloa 1061, Las Quintas, 80060 Culiacán Rosales, Sin.",667 224 0685,,,24.817633,-107.3796487,,"https://www.google.com/maps/place/Central+de+Belleza+Culiac%C3%A1n/@24.817633,-107.3796487,16z/data=!4m11!1m3!2m2!1sesteticas+en+culiacan,+M%C3%A9xico!6e1!3m6!1s0x86bcd750a6a132f7:0xb6c6f2890cf74f8!8m2!3d24.8164718!4d-107.3743622!15sCh5lc3RldGljYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2-SAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11f11gqwd7?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:25:27.420Z
5,BLUSH Beauty & Fit,,,Centro de estética,,"Blvrd Sinaloa 1197, Las Quintas, 80060 Culiacán Rosales, Sin.",,,,24.817633,-107.3796487,,"https://www.google.com/maps/place/BLUSH+Beauty+%26+Fit/@24.817633,-107.3796487,16z/data=!4m11!1m3!2m2!1sesteticas+en+culiacan,+M%C3%A9xico!6e1!3m6!1s0x86bcd9fd43456ba7:0x3a76d4bd0ea81406!8m2!3d24.8182634!4d-107.3742179!15sCh5lc3RldGljYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2-SAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11vwvlk728?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:25:28.054Z
6,Fashion 911 Suc. Las Quintas,4.3,,Centro de estética,,"Gran Avenida El Dorado 1641-Local 5, Las Quintas, Raquet Club, 80060 Culiacán Rosales, Sin.",667 172 0119,http://fashion911.mx/,,24.817905,-107.383798,,"https://www.google.com/maps/place/Fashion+911+Suc.+Las+Quintas/@24.817905,-107.383798,16z/data=!4m11!1m3!2m2!1sesteticas+en+culiacan,+M%C3%A9xico!6e1!3m6!1s0x86bcd987fda074a1:0x768add7a4eb86ca0!8m2!3d24.8187796!4d-107.3725931!15sCh5lc3RldGljYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZXN0ZXRpY2FzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQxiZWF1dHlfc2Fsb26aAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVLZG1SWE9WZGliV2g1WTJwb1IwNHdWazlaVmxwTFRWUmtSazFyUlJBQuABAPoBBAgAEDs!16s%2Fg%2F11j3m0xdc6?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:25:28.358Z
7,Lisos y Risos,4.4,,Centro de estética,,"80060, Las Quintas, 80060 Culiacán Rosales, Sin.",667 377 0697,,,24.817905,-107.383798,,"https://www.google.com/maps/place/Lisos+y+Risos/@24.817905,-107.383798,16z/data=!4m11!1m3!2m2!1sesteticas+en+culiacan,+M%C3%A9xico!6e1!3m6!1s0x86bcd7c5dc5deddf:0x8b43f99ac7446239!8m2!3d24.81641!4d-107.3743294!15sCh5lc3RldGljYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZXN0ZXRpY2FzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQxiZWF1dHlfc2Fsb26aASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmFaMlpFUnpKQlJSQULgAQD6AQQIABBC!16s%2Fg%2F11hf35jy7k?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:25:28.647Z
8,El salon de janelle,5,,Centro de estética,,"Estado de Puebla 1312, Las Quintas, 80060 Culiacán Rosales, Sin.",667 259 6494,,,24.817905,-107.383798,,"https://www.google.com/maps/place/El+salon+de+janelle/@24.817905,-107.383798,16z/data=!4m11!1m3!2m2!1sesteticas+en+culiacan,+M%C3%A9xico!6e1!3m6!1s0x86bcd7aeb958c127:0x96e2a005a38db29!8m2!3d24.8152547!4d-107.3724424!15sCh5lc3RldGljYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZXN0ZXRpY2FzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQxiZWF1dHlfc2Fsb26aASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhkRFZRZEVsQkVBReABAPoBBAgAEDI!16s%2Fg%2F11f6y3hq1y?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:25:28.937Z
9,Marcela Rivas Make Up Artist,5,,Centro de estética,,"Blvrd Sinaloa 5, Las Quintas, 80060 Culiacán Rosales, Sin.",667 780 5763,http://www.instagram.com/marcelarivas_mua,,24.817905,-107.383798,,"https://www.google.com/maps/place/Marcela+Rivas+Make+Up+Artist/@24.817905,-107.383798,16z/data=!4m11!1m3!2m2!1sesteticas+en+culiacan,+M%C3%A9xico!6e1!3m6!1s0x86bcd7441ed79f95:0x66eea34f6f820859!8m2!3d24.8162394!4d-107.3743173!15sCh5lc3RldGljYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2-SAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F11c80jk6lj?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:25:29.230Z
10,Belleza con Angel,3.5,,Centro de estética,,"Francisco Zarco 988, Las Quintas, 80060 Culiacán Rosales, Sin.",667 715 7760,,,24.817905,-107.383798,,"https://www.google.com/maps/place/Belleza+con+Angel/@24.817905,-107.383798,16z/data=!4m11!1m3!2m2!1sesteticas+en+culiacan,+M%C3%A9xico!6e1!3m6!1s0x86bcd757e4e62be3:0xf3b190ecf9c96c06!8m2!3d24.8170055!4d-107.3739272!15sCh5lc3RldGljYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2-SAQxiZWF1dHlfc2Fsb27gAQA!16s%2Fg%2F1thhky_2?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:25:29.672Z
