position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Farmacias Benavides,3.7,,Farmacia,,"Gran Avenida El Dorado 1694, entre CALLE EDO SONORA Y EDO TABASCO, Las Quintas, 80060 Culiacán Rosales, Sin.",,https://www.benavides.com.mx/,Abierto · Cierra a las 11 p.m.Ver más horarios,,,,"https://www.google.com/maps/place/Farmacias+Benavides/@24.8175309,-107.3872319,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd7589a6b4329:0x2990663ab901daca!8m2!3d24.8179598!4d-107.3689292!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZmFybWFjaWFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQhwaGFybWFjeZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSS2JqVTJaVzlCUlJBQuABAPoBBAgAEBw!16s%2Fg%2F11bx0jv_1m?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:28.112Z
2,Farmacia FarmaSí - Las Quintas,,,Farmacia,,"Blvrd Sinaloa 932-B, Las Quintas, 80060 Culiacán Rosales, Sin.",,,,,,,"https://www.google.com/maps/place/Farmacia+FarmaS%C3%AD+-+Las+Quintas/@24.8175309,-107.3872319,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd7ccbc16ef2d:0x4411286fc2ea1f06!8m2!3d24.8146022!4d-107.3739922!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY2-SAQhwaGFybWFjeeABAA!16s%2Fg%2F11y0n9tjs4?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:29.465Z
3,FarmaCon La Campiña,4.2,,Farmacia,,"Blvd, Gran Avenida El Dorado #972 Ote, Las Quintas, 80060 Culiacán Rosales, Sin.",,,,,,,"https://www.google.com/maps/place/FarmaCon+La+Campi%C3%B1a/@24.8175309,-107.3872319,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd75897b6c67f:0xd3857ab7459aba0!8m2!3d24.8172817!4d-107.3687333!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZmFybWFjaWFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQhwaGFybWFjeZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyc3dOVXhYT1ZwT1JYZDRUVlZzZUV4WVpGTlNWVVl3WWxoYU0wNUlZeEFC4AEA-gEECAAQDQ!16s%2Fg%2F11csb0mf9x?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:31.452Z
4,Farmacias Guadalajara,4.4,,Farmacia,,"Calle Benito Juarez 1939, Miguel Hidalgo, 80090 Culiacán Rosales, Sin.",,https://www.farmaciasguadalajara.com.mx/,,,,,"https://www.google.com/maps/place/Farmacias+Guadalajara/@24.8175309,-107.3872319,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd7504ac57493:0x946bfecc98438809!8m2!3d24.8074273!4d-107.3756528!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZmFybWFjaWFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQhwaGFybWFjeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSWE5EaFVSMlpuRUFF4AEA-gEECAAQMw!16s%2Fg%2F1tgf3ngh?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:33.448Z
5,Farmacia Guadalajara,4.2,,Farmacia,,"RAFAEL BUELNA ORIENTE 921, Calle Gral Rafael Buelna Tenorio 921, Las Quintas, 80060 Culiacán Rosales, Sin.",,https://www.farmaciasguadalajara.com.mx/,,,,,"https://www.google.com/maps/place/Farmacia+Guadalajara/@24.8175309,-107.3872319,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd7313fffffff:0x1780fb173a3a09d3!8m2!3d24.8117355!4d-107.3829646!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZmFybWFjaWFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQhwaGFybWFjeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSbFgyOWlWV1pCRUFF4AEA-gEECAAQHg!16s%2Fg%2F11gdrl5305?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:35.039Z
6,Farmacia Guadalajara,4.2,,Farmacia,,"80060, Calz de los Sabinos Ote 996, La Campiña, Culiacán Rosales, Sin.",,,,,,,"https://www.google.com/maps/place/Farmacia+Guadalajara/@24.8117355,-107.402019,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd75fa2b4614d:0xf5619753fd7c1e0a!8m2!3d24.8171835!4d-107.3633522!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZmFybWFjaWFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQhwaGFybWFjeZoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyNUNhbGRGVGtwTVZYUkdaSHBrVmswd1pHRmhXRXBUVlZoR2NWVnRZeEFC4AEA-gEECAAQIg!16s%2Fg%2F11c5s70nyp?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:36.642Z
7,FARMACIAS SIMILARES,5,,Farmacia,,"Las Quintas, 80060 Culiacán Rosales, Sin.",,https://www.farmaciasdesimilares.com/,,,,,"https://www.google.com/maps/place/FARMACIAS+SIMILARES/@24.8171835,-107.3824066,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd9fe0e601bc5:0x573ae4639f1a99fd!8m2!3d24.8178541!4d-107.379526!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZmFybWFjaWFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQhwaGFybWFjeZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOV09VcGhWR3hCUlJBQuABAPoBBAgAEDQ!16s%2Fg%2F11l6t3x0cr?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:38.845Z
8,FarmaCon,3,,Farmacia,,"Blvrd Dr Mora 1300-1, Las Quintas, 80060 Culiacán Rosales, Sin.",,https://www.yza.mx/,,,,,"https://www.google.com/maps/place/FarmaCon/@24.8178541,-107.3985804,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd7d3aa3ad455:0x546bc11fb0a59dbd!8m2!3d24.8137826!4d-107.3764875!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZmFybWFjaWFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQhwaGFybWFjeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOQ2FtSTNZMFozRUFF4AEA-gEECGAQLQ!16s%2Fg%2F1tk9r65f?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:40.242Z
9,Farmacias Similares,4.6,,Farmacia,,"80060, Gran Avenida El Dorado 831, Las Quintas, Culiacán Rosales, Sin.",,http://www.farmaciasdesimilares.com/,,,,,"https://www.google.com/maps/place/Farmacias+Similares/@24.8178541,-107.3985804,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd7593aca3da5:0x66c1cbe1496ec915!8m2!3d24.8145968!4d-107.3680018!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZmFybWFjaWFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQhwaGFybWFjeZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOQ2JDMHpjMmQzUlJBQuABAPoBBAgAEA4!16s%2Fg%2F11c6q8n7ty?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:42.078Z
10,Farmacias FarmaCon Malecon,3,,Farmacia,,"P.º Niños Heroes 974, Las Quintas, 80060 Culiacán Rosales, Sin.",,,,,,,"https://www.google.com/maps/place/Farmacias+FarmaCon+Malecon/@24.8145968,-107.3870562,15z/data=!4m11!1m3!2m2!1sfarmacias+en+culiacan,+M%C3%A9xico!6e2!3m6!1s0x86bcd9fe3f126691:0x8d03b4a73f386bbe!8m2!3d24.8179159!4d-107.3804435!15sCh5mYXJtYWNpYXMgZW4gY3VsaWFjYW4sIE3DqXhpY29aHyIdZmFybWFjaWFzIGVuIGN1bGlhY2FuIG3DqXhpY2-SAQhwaGFybWFjeeABAA!16s%2Fg%2F1tfs1hzl?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoKLDEwMDc5MjA3MUgBUAM%3D",2026-01-12T17:26:43.948Z
