position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Farmacia FarmaSí - Las Quintas,,,Farmacia,,"Blvrd Sinaloa 932-B, Las Quintas, 80060 Culiacán Rosales, Sin.",667 113 6508,,,,,,"https://www.google.com/maps/place/Farmacia+FarmaS%C3%AD+-+Las+Quintas/@24.8184824,-107.3872319,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd7ccbc16ef2d:0x4411286fc2ea1f06!8m2!3d24.8146022!4d-107.3739922!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb5IBCHBoYXJtYWN54AEA!16s%2Fg%2F11y0n9tjs4?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:17.074Z
2,Farmacias Benavides,3.7,,Farmacia,,"Gran Avenida El Dorado 1694, entre CALLE EDO SONORA Y EDO TABASCO, Las Quintas, 80060 Culiacán Rosales, Sin.",81 8126 0000,https://www.benavides.com.mx/,Abierto · Cierra a las 11 p.m.,,,,"https://www.google.com/maps/place/Farmacias+Benavides/@24.8184824,-107.3872319,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd7589a6b4329:0x2990663ab901daca!8m2!3d24.8179598!4d-107.3689292!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb1oeIhxmYXJtYWNpYXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEIcGhhcm1hY3maASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUktialUyWlc5QlJSQULgAQD6AQQIABAc!16s%2Fg%2F11bx0jv_1m?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:19.258Z
3,FarmaCon La Campiña,4.2,,Farmacia,,"Blvd, Gran Avenida El Dorado #972 Ote, Las Quintas, 80060 Culiacán Rosales, Sin.",667 752 1777,,,,,,"https://www.google.com/maps/place/FarmaCon+La+Campi%C3%B1a/@24.8184824,-107.3872319,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd75897b6c67f:0xd3857ab7459aba0!8m2!3d24.8172817!4d-107.3687333!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb1oeIhxmYXJtYWNpYXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEIcGhhcm1hY3maAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnN3TlV4WE9WcE9SWGQ0VFZWc2VFeFlaRk5TVlVZd1lsaGFNMDVJWXhBQuABAPoBBAgAEA0!16s%2Fg%2F11csb0mf9x?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:20.549Z
4,Farmacia Guadalajara,4.2,,Farmacia,,"RAFAEL BUELNA ORIENTE 921, Calle Gral Rafael Buelna Tenorio 921, Las Quintas, 80060 Culiacán Rosales, Sin.",667 716 6193,https://www.farmaciasguadalajara.com.mx/,,,,,"https://www.google.com/maps/place/Farmacia+Guadalajara/@24.8184824,-107.3872319,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd7313fffffff:0x1780fb173a3a09d3!8m2!3d24.8117355!4d-107.3829646!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb1oeIhxmYXJtYWNpYXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEIcGhhcm1hY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUmxYMjlpVldaQkVBReABAPoBBAgAEB4!16s%2Fg%2F11gdrl5305?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:21.916Z
5,Farmacias Guadalajara,4.4,,Farmacia,,"Calle Benito Juarez 1939, Miguel Hidalgo, 80090 Culiacán Rosales, Sin.",33 3818 1818,https://www.farmaciasguadalajara.com.mx/,,,,,"https://www.google.com/maps/place/Farmacias+Guadalajara/@24.8117355,-107.402019,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd7504ac57493:0x946bfecc98438809!8m2!3d24.8074273!4d-107.3756528!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb1oeIhxmYXJtYWNpYXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEIcGhhcm1hY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhORGhVUjJabkVBReABAPoBBAgAEDM!16s%2Fg%2F1tgf3ngh?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:23.750Z
6,FarmaCon,3,,Farmacia,,"Blvrd Dr Mora 1300-1, Las Quintas, 80060 Culiacán Rosales, Sin.",667 712 7004,https://www.yza.mx/,,,,,"https://www.google.com/maps/place/FarmaCon/@24.8117355,-107.402019,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd7d3aa3ad455:0x546bc11fb0a59dbd!8m2!3d24.8137826!4d-107.3764875!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb1oeIhxmYXJtYWNpYXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEIcGhhcm1hY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTkNhbUkzWTBaM0VBReABAPoBBAhgEC0!16s%2Fg%2F1tk9r65f?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:25.668Z
7,Farmacias FarmaCon Malecon,3,,Farmacia,,"P.º Niños Heroes 974, Las Quintas, 80060 Culiacán Rosales, Sin.",667 712 7004,,,,,,"https://www.google.com/maps/place/Farmacias+FarmaCon+Malecon/@24.8117355,-107.402019,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd9fe3f126691:0x8d03b4a73f386bbe!8m2!3d24.8179159!4d-107.3804435!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb1oeIhxmYXJtYWNpYXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEIcGhhcm1hY3ngAQA!16s%2Fg%2F1tfs1hzl?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:27.168Z
8,Farmacias Similares,4.6,,Farmacia,,"80060, Gran Avenida El Dorado 831, Las Quintas, Culiacán Rosales, Sin.",800 911 6666,http://www.farmaciasdesimilares.com/,,,,,"https://www.google.com/maps/place/Farmacias+Similares/@24.8117355,-107.402019,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd7593aca3da5:0x66c1cbe1496ec915!8m2!3d24.8145968!4d-107.3680018!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb1oeIhxmYXJtYWNpYXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEIcGhhcm1hY3maASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTkNiQzB6YzJkM1JSQULgAQD6AQQIABAO!16s%2Fg%2F11c6q8n7ty?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:28.968Z
9,Farmacia Guadalajara,4.2,,Farmacia,,"80060, Calz de los Sabinos Ote 996, La Campiña, Culiacán Rosales, Sin.",,,,,,,"https://www.google.com/maps/place/Farmacia+Guadalajara/@24.8145968,-107.3870562,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd75fa2b4614d:0xf5619753fd7c1e0a!8m2!3d24.8171835!4d-107.3633522!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb1oeIhxmYXJtYWNpYXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEIcGhhcm1hY3maAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVDYWxkRlRrcE1WWFJHWkhwa1ZrMHdaR0ZoV0VwVFZWaEdjVlZ0WXhBQuABAPoBBAgAECI!16s%2Fg%2F11c5s70nyp?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:30.994Z
10,Farmacia Emergencias Suc. Las Quintas,3.8,,Farmacia,,"Blvrd Dr Mora 1692-6 Col, Las Quintas, 80060 Culiacán Rosales, Sin.",667 729 0183,https://farmaciaemergencias.com.mx/,,,,,"https://www.google.com/maps/place/Farmacia+Emergencias+Suc.+Las+Quintas/@24.8145968,-107.3870562,15z/data=!4m11!1m3!2m2!1sfarmacias+en+Culiacan,+Mexico!6e2!3m6!1s0x86bcd74c9ea6d5ff:0xc83f0cb800f77af0!8m2!3d24.8148322!4d-107.3681632!15sCh1mYXJtYWNpYXMgZW4gQ3VsaWFjYW4sIE1leGljb1oeIhxmYXJtYWNpYXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEIcGhhcm1hY3ngAQA!16s%2Fg%2F11hs9lbt1r?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T17:39:32.258Z
