position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Station 24 Fitness Alcalde,4.3,,Gimnasio,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Station+24+Fitness+Alcalde/data=!4m7!3m6!1s0x8428b10bf7536643:0x7e1be7d21e9e4e59!8m2!3d20.6914283!4d-103.3480286!16s%2Fg%2F11w7mj86jc!19sChIJQ2ZT9wuxKIQRWU6eHtLnG34?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.225Z
2,Gym Guadalajara,4.6,,Gimnasio,,,,,Cierra pronto,,,,https://www.google.com/maps/place/Gym+Guadalajara/data=!4m7!3m6!1s0x8428ac2ec8b5b169:0x5951567266400ffa!8m2!3d20.6539944!4d-103.4125762!16s%2Fg%2F1tgpnbm6!19sChIJabG1yC6sKIQR-g9AZnJWUVk?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.225Z
3,MasFit Gym,4.7,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/MasFit+Gym/data=!4m7!3m6!1s0x8428b1a9dc2719f3:0x1fa0a3369ecf4c50!8m2!3d20.6715621!4d-103.3266844!16s%2Fg%2F11srx_0s37!19sChIJ8xkn3KmxKIQRUEzPnjajoB8?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.225Z
4,Evolución,4.9,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Evoluci%C3%B3n/data=!4m7!3m6!1s0x8428afb9d746e023:0x55fc749aa52b9813!8m2!3d20.6857553!4d-103.3678217!16s%2Fg%2F11ry54vcs8!19sChIJI-BG17mvKIQRE5grpZp0_FU?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.225Z
5,Sport Universe,4.5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Sport+Universe/data=!4m7!3m6!1s0x8428afa9b6cc069b:0x6f8c6c2cf8bd7700!8m2!3d20.6738707!4d-103.3805708!16s%2Fg%2F11lgy_ks7x!19sChIJmwbMtqmvKIQRAHe9-CxsjG8?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.225Z
6,Anytime Fitness Estadio Guadalajara (Plaza Lisboa),4.4,,Gimnasio,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Anytime+Fitness+Estadio+Guadalajara+%28Plaza+Lisboa%29/data=!4m7!3m6!1s0x8428b1f8e4606d39:0x9da25a417f8df6a4!8m2!3d20.7070981!4d-103.3248935!16s%2Fg%2F11tgg71zgc!19sChIJOW1g5PixKIQRpPaNf0Faop0?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.225Z
7,Empire Fitness Guadalajara,3.8,,Gimnasio,,,,,· Cierra a las 8 p.m.,,,,https://www.google.com/maps/place/Empire+Fitness+Guadalajara/data=!4m7!3m6!1s0x8428afbaad1e59a9:0xec92ee8b96b02bda!8m2!3d20.676301!4d-103.3692603!16s%2Fg%2F11vdhn4p50!19sChIJqVkerbqvKIQR2iuwlovukuw?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.225Z
8,Station 24 Fitness Javier Mina,4.4,,Gimnasio,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Station+24+Fitness+Javier+Mina/data=!4m7!3m6!1s0x8428b3ca68fd6641:0xc3e00d42a6e2fdb3!8m2!3d20.6672481!4d-103.313209!16s%2Fg%2F11j4t4r8nw!19sChIJQWb9aMqzKIQRs_3ipkIN4MM?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.225Z
9,Challenger training center,5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Challenger+training+center/data=!4m7!3m6!1s0x8428b1f2a5976f13:0xe8a2cf269f1d78ee!8m2!3d20.6777477!4d-103.3364243!16s%2Fg%2F11kn6tnc5r!19sChIJE2-XpfKxKIQR7ngdnybPoug?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
10,COUNTRY Sport GYM,4.4,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/COUNTRY+Sport+GYM/data=!4m7!3m6!1s0x8428b3cf5317b7bd:0x7c8790d4d71e01ce!8m2!3d20.6520279!4d-103.3018532!16s%2Fg%2F1tf7bdxf!19sChIJvbcXU8-zKIQRzgEe19SQh3w?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
11,Station 24 Fitness Country,4.2,,Gimnasio,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Station+24+Fitness+Country/data=!4m7!3m6!1s0x8428af89e7e25b27:0x7384ec64b7ab4f01!8m2!3d20.6970056!4d-103.3714606!16s%2Fg%2F11qyqxhpvk!19sChIJJ1vi54mvKIQRAU-rt2TshHM?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
12,Anytime Fitness Plan de San Luis,4.4,,Gimnasio,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Anytime+Fitness+Plan+de+San+Luis/data=!4m7!3m6!1s0x8428ae265c903af3:0x65606c1867843055!8m2!3d20.6973588!4d-103.3629035!16s%2Fg%2F1ptw0tj8k!19sChIJ8zqQXCauKIQRVTCEZxhsYGU?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
13,Move Wellness Urban Vallarta,4.3,,Centro deportivo,,,,,Cerrado,,,,https://www.google.com/maps/place/Move+Wellness+Urban+Vallarta/data=!4m7!3m6!1s0x8428ae0fcea871c7:0xd15869e0dce0e02e!8m2!3d20.6742039!4d-103.3731413!16s%2Fg%2F1tj1sdlx!19sChIJx3Gozg-uKIQRLuDg3OBpWNE?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
14,Demon Gym,4.5,,Gimnasio,,,,,Cerrado,,,,https://www.google.com/maps/place/Demon+Gym/data=!4m7!3m6!1s0x8428b300398981c5:0xc0e49be9445e1a91!8m2!3d20.6665731!4d-103.2916178!16s%2Fg%2F11vt1tdmv9!19sChIJxYGJOQCzKIQRkRpeROmb5MA?authuser=0&hl=es&rclk=1,2026-01-11T22:31:51.226Z
