position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Tintorería Pressto Culiacán,4.5,,Tintorería,,"Blvd. Emiliano Zapata 1061, Jorge Almada, Las Quintas, 80060 Culiacán Rosales, Sin.",667 712 6036,http://tintoreriaspressto.com.mx/,,,,"RJ8G+H7 Culiacán Rosales, Sinaloa",https://www.google.com/maps/search/lavanderias%20en%20culiacan%2C%20M%C3%A9xico,2026-01-12T23:15:54.923Z
2,Tintorería Pretty Clean - Las Quintas,4.5,,Tintorería,,"Blvrd Sinaloa 1116-L-2, Las Quintas, 80060 Culiacán Rosales, Sin.",667 584 2586,,,,,,https://www.google.com/maps/search/lavanderias%20en%20culiacan%2C%20M%C3%A9xico,2026-01-12T23:15:55.180Z
3,Planchaduria angelito,5,,Servicio de lavandería,,"Estado de Puebla 1419, Las Quintas, 80060 Culiacán Rosales, Sin.",667 295 9134,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Planchaduria+angelito/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd79b9988cec7:0xe4be4128e6cac634!8m2!3d24.8152062!4d-107.3736847!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBD2xhdW5kcnlfc2VydmljZeABAA!16s%2Fg%2F11nyjq4srq?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:55.540Z
4,Tintoreria El Angel,4.5,,Tintorería,,"Paseo Niños Héroes Esq. con Sepulveda Malecón Viejo atrás de Ley del rió, 80000 Culiacán Rosales, Sin.",667 712 0381,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Tintoreria+El+Angel/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd0ab03ccf939:0xd1a84c40315db7ef!8m2!3d24.812862!4d-107.3874109!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb1ohIh9sYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiBtw6l4aWNvkgELZHJ5X2NsZWFuZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUlhNMHRoYVRKblJSQULgAQD6AQQIcRAl!16s%2Fg%2F11dfjwql97?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:55.829Z
5,Tint,4.8,,Tintorería,,"RETORNO JOSE, Diego Valadés Ríos 1517 OTE-L. 3 Y 4, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin.",,https://www.clynmembers.com/sucursal-culiacan-1/,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Tint/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd9fedb927fc3:0xdebdc3210db0977f!8m2!3d24.8213042!4d-107.3814334!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb1ohIh9sYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiBtw6l4aWNvkgELZHJ5X2NsZWFuZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXhNRkJQZDNWM1JSQULgAQD6AQQIABAS!16s%2Fg%2F11c5btp083?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:56.123Z
6,Bubba clean,5,,Lavandería de autoservicio,,"80065 Cancun 1494 local 3 olaza Bariloche, Fracc Musalá Isla Bonita, 80065 Culiacán Rosales, Sin.",667 461 8257,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Bubba+clean/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd9a8b83812f5:0x1206f2517f52a6df!8m2!3d24.82342!4d-107.3689067!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBCmxhdW5kcm9tYXTgAQA!16s%2Fg%2F11h6d6149n?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:56.422Z
7,Lavandería Barcelona,,,Servicio de lavandería,,"calle ciudad de reynosa #1394 , Blvrd. Sinaloa, Las Quintas, 80060 Culiacán Rosales, Sin.",667 466 1698,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Lavander%C3%ADa+Barcelona/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd7573fffffc3:0x76cd80da7d2df2b3!8m2!3d24.813151!4d-107.374535!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBD2xhdW5kcnlfc2VydmljZeABAA!16s%2Fg%2F11gbfdkyzy?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:57.104Z
8,Lavanderia La morena,,,Lavandería,,"Blvrd Dr Mora 1613, Las Quintas, 80060 Culiacán Rosales, Sin.",667 432 1109,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Lavanderia+La+morena/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd7faee95a16f:0x7f5303475d5600e5!8m2!3d24.815196!4d-107.3700244!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBB2xhdW5kcnngAQA!16s%2Fg%2F11qq0q6z27?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:57.398Z
9,Tintorería Max Culiacan II,3.8,,Servicio de lavandería,,"P.º Niños Heroes 946 Oriente, Las Quintas, 80060 Culiacán Rosales, Sin.",,http://www.tintoreriasmax.com/,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Tintorer%C3%ADa+Max+Culiacan+II/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd1da5821c8ef:0xad8f58222d78e497!8m2!3d24.8167721!4d-107.3814182!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb1ohIh9sYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiBtw6l4aWNvkgEPbGF1bmRyeV9zZXJ2aWNlmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF5Tm5WTWFqbEJSUkFC4AEA-gEECAAQGg!16s%2Fg%2F1thx4h9t?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:57.690Z
10,Tintorería Pretty Clean - Tres Rios,4.3,,Tintorería,,"Retorno José, Diego Valadés Ríos 1517 OTE-Local 2, Cd Universitaria, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin.",667 223 3742,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Tintorer%C3%ADa+Pretty+Clean+-+Tres+Rios/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd939cc8c7611:0x5580223619ddb728!8m2!3d24.8213246!4d-107.3814514!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb1ohIh9sYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiBtw6l4aWNvkgELZHJ5X2NsZWFuZXKaASRDaGREU1VoTk1HOW5TMFZKTjBVd2NWZFljRnBIU3pCUlJSQULgAQD6AQQITBAe!16s%2Fg%2F11vqhsq585?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:57.982Z
11,LA PLANCHADURIA,,,Tintorería,,"Gran Avenida El Dorado 1632, Las Quintas, 80060 Culiacán Rosales, Sin.",,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/LA+PLANCHADURIA/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd9e284053edd:0xaa613d516b93f375!8m2!3d24.8183372!4d-107.3705089!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBC2RyeV9jbGVhbmVy4AEA!16s%2Fg%2F11y3ytc_nf?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:58.285Z
12,Plancha Miss Tela's,,,Tintorería,,"Blvrd Sinaloa, Las Quintas, 80060 Culiacán Rosales, Sin.",667 154 4706,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Plancha+Miss+Tela's/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd7576a131f93:0xb4e6ecd5c9da544a!8m2!3d24.813239!4d-107.3742704!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBC2RyeV9jbGVhbmVy4AEA!16s%2Fg%2F11w55vg00s?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:58.622Z
13,Titoreria La Familiar,5,,Tintorería,,"Blvrd Dr Mora 1702A, Las Quintas, La Campiña, 80060 Culiacán Rosales, Sin.",667 690 7359,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Titoreria+La+Familiar/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd758d738e3f7:0xe76d9307491060ff!8m2!3d24.8156754!4d-107.3677834!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBC2RyeV9jbGVhbmVy4AEA!16s%2Fg%2F11dym3q44n?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:58.915Z
14,Planchar Lavanderia,,,,,"Blvrd Sinaloa, Las Quintas, 80060 Culiacán Rosales, Sin.",,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Planchar+Lavanderia/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd7576a1341e5:0xa5a161017a793ec0!8m2!3d24.813247!4d-107.3742817!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb-ABAA!16s%2Fg%2F11lchh5r35?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:59.338Z
15,"Master Clean Lavandería, Planchaduría y Tintorería",5,,Lavandería,,"Blvrd Dr Mora 1884, La Campiña, 80060 Culiacán Rosales, Sin.",667 203 8270,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Master+Clean+Lavander%C3%ADa,+Planchadur%C3%ADa+y+Tintorer%C3%ADa/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd7296adf5f5b:0xf031a972a2d18e44!8m2!3d24.8156882!4d-107.3641329!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBB2xhdW5kcnngAQA!16s%2Fg%2F11hz9d0myp?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:59.643Z
16,MAX CULIACÁN III,4.6,,Tintorería,,"Avenida Tachichilte Ote.1233 Centro comercial Walmart, Isla Musala, 80065 Culiacán Rosales, Sin.",667 146 4672,http://www.tintoreriasmax.com/,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/MAX+CULIAC%C3%81N+III/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcca2d2ed45e0d:0xb9b503db253082de!8m2!3d24.8253224!4d-107.3702845!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBC2RyeV9jbGVhbmVy4AEA!16s%2Fg%2F1tj7fhg5?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:15:59.951Z
17,Central De Lavado,,,Tintorería,,"Blvrd Sinaloa 669(3, Las Quintas, 80060 Culiacán Rosales, Sin.",,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Central+De+Lavado/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd74a8ac7aed3:0xe67ded608591aea1!8m2!3d24.8116355!4d-107.3738897!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBC2RyeV9jbGVhbmVy4AEA!16s%2Fg%2F11ghtghxy6?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:00.258Z
18,Ito's Culiacán,4.2,,Tintorería,,"Calle Universitarios Ote. 264, Burócrata, 80030 Culiacán Rosales, Sin.",667 688 2680,https://www.facebook.com/itostintoreria/,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Ito's+Culiac%C3%A1n/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcdb941a04f709:0x272984da84bbca4a!8m2!3d24.8313166!4d-107.3901731!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb1ohIh9sYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiBtw6l4aWNvkgELZHJ5X2NsZWFuZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTlBjM1YxU0ZwUkVBReABAPoBBAgAEEE!16s%2Fg%2F11h0rm0d66?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:00.563Z
19,Klinko Culiacán,5,,Lavandería de autoservicio,,"Calle Universitarios Ote. 264, Burócrata, 80030 Culiacán Rosales, Sin.",667 688 2680,https://klinko.com.mx/klinko-culiacan/,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Klinko+Culiac%C3%A1n/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcdbcf95806db7:0x24b2b679bf273cc8!8m2!3d24.8313848!4d-107.3901523!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb1ohIh9sYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiBtw6l4aWNvkgEKbGF1bmRyb21hdJoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydFNXVnA1TVU1VFJYaHdWa1pvTkZwVlVuQk9NVVo2VFd4T1RGa3pZeEFC4AEA-gEECAAQEg!16s%2Fg%2F11xtzh02_h?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:00.871Z
20,Tintorería Del Noroeste,,,Tintorería,,"Gran Avenida El Dorado, Las Quintas, 80060 Culiacán Rosales, Sin.",,,,24.8215098,-107.3874527,"RJ8J+3V Culiacán Rosales, Sinaloa","https://www.google.com/maps/place/Tintorer%C3%ADa+Del+Noroeste/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd75928892fdf:0xf731a47bdcea4f!8m2!3d24.8151874!4d-107.3678217!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBC2RyeV9jbGVhbmVy4AEA!16s%2Fg%2F11gfn42_dy?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:01.645Z
21,Lavandería Trapitos,,,Lavandería,,"Blvrd Dr Manuel Romero 598, Fovissste, 80040 Culiacán Rosales, Sin.",667 100 0803,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Lavander%C3%ADa+Trapitos/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd99fa92ea27b:0x9d91bf8a74596972!8m2!3d24.8183413!4d-107.3848262!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBB2xhdW5kcnngAQA!16s%2Fg%2F11sc655s3x?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:01.940Z
22,Lavanderia FreshCleanu,5,,,,"Indio de Guelatao, Miguel Hidalgo, 80090 Culiacán Rosales, Sin.",,,,24.8215098,-107.3874527,"RJ5F+9R Culiacán Rosales, Sinaloa","https://www.google.com/maps/place/Lavanderia+FreshCleanu/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd750572c4d49:0xbb3208a8eba52109!8m2!3d24.8083938!4d-107.3754241!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb1ohIh9sYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiBtw6l4aWNvmgFEQ2k5RFFVbFJRVU52WkVOb2RIbGpSamx2VDJ0ME5tTnVWbTVQVldSUVdsVmtTRkV6VmxCVk1Wb3daR3BqTUU5VlJSQULgAQD6AQQIABAi!16s%2Fg%2F11wfpm140n?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:02.492Z
23,Lavanderia Aquairi,4,,Lavandería,,"Blvrd Gral Gabriel Leyva Solano 284, Primer Cuadro, 80000 Culiacán Rosales, Sin.",667 712 0488,,,24.8215098,-107.3874527,,"https://www.google.com/maps/place/Lavanderia+Aquairi/@24.8215098,-107.3874527,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd0b1f40cc187:0xbced1ac1d0728b36!8m2!3d24.8028496!4d-107.3911363!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb1ohIh9sYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiBtw6l4aWNvkgEHbGF1bmRyeZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSd05tTnhaa2RuRUFF4AEA-gEECAAQRA!16s%2Fg%2F11dx8kd861?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:02.993Z
24,lavanderia y planchaduria express,5,,Lavandería,,"Heráclito 3106, U.a.s., UAS, 80013 Culiacán Rosales, Sin.",667 413 4238,,,24.8183413,-107.4038806,,"https://www.google.com/maps/place/lavanderia+y+planchaduria+express/@24.8183413,-107.4038806,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd9c50f8d6f7b:0xeb1463412735bc25!8m2!3d24.8310537!4d-107.3831114!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBB2xhdW5kcnngAQA!16s%2Fg%2F11fmprn7_8?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:03.489Z
25,Blancura Y Calidad De Tintoreria,4,,Servicio de lavandería,,"P.º Niños Heroes 698, Malecon, Las Quintas, 80000 Culiacán Rosales, Sin.",,,,24.8183413,-107.4038806,"RJ76+4X Culiacán Rosales, Sinaloa","https://www.google.com/maps/place/Blancura+Y+Calidad+De+Tintoreria/@24.8183413,-107.4038806,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd0ab0177736d:0xcc2e7937b1b1b422!8m2!3d24.812846!4d-107.3875218!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBD2xhdW5kcnlfc2VydmljZeABAA!16s%2Fg%2F11j2yqdd5g?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:04.047Z
26,Lavanderia La Familiar,3,,Lavandería,,"Av Revolución 610, Aurora, 80070 Culiacán Rosales, Sin.",,,,24.8183413,-107.4038806,"RJ6M+5H Culiacán Rosales, Sinaloa","https://www.google.com/maps/place/Lavanderia+La+Familiar/@24.8183413,-107.4038806,15z/data=!4m10!1m2!2m1!1slavanderias+en+culiacan,+M%C3%A9xico!3m6!1s0x86bcd75c65d13cad:0xac2b67e387c77dff!8m2!3d24.8104263!4d-107.3660384!15sCiBsYXZhbmRlcmlhcyBlbiBjdWxpYWNhbiwgTcOpeGljb5IBB2xhdW5kcnngAQA!16s%2Fg%2F1tfgpv7x?entry=ttu&g_ep=EgoyMDI2MDEwNy4wIKXMDSoASAFQAw%3D%3D",2026-01-12T23:16:04.605Z
