position,placeId,name,rating,category,address,email,allEmails,website,hours,isOpenNow,latitude,longitude,plusCode,dineIn,instagram,facebook,whatsapp,twitter,photosCount,topReviewText,topReviewRating,profileUrl,scrapedAt
1,0x8428b18749c7f07f:0x96b937170fa74eda,Llantera las 24 hrs,3.9,Taller de automóviles,"Av. Francisco Javier Mina 1201, La Penal, 44730 Guadalajara, Jal.",,,,,,20.6705427,-103.3966149,"MM9J+PG Guadalajara, Jalisco",,,,,,0,"Bastante carero y aprovechado el dueño, a medio servicio me cobró de más solo por que le ayudo a su chalán",3,"https://www.google.com/maps/place/Llantera+las+24+hrs/@20.6705427,-103.3966149,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b18749c7f07f:0x96b937170fa74eda!8m2!3d20.6692785!4d-103.3187361!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb5IBCmNhcl9yZXBhaXLgAQA!16s%2Fg%2F1ptwvf6tg?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:30:57.595Z
2,0x8428b21be283559b:0x2f8e3b4ea58b0a64,LLANTERA BRAVO,4.9,Tienda de neumáticos usados,"C. Nicolás Bravo 885, San Carlos, 44460 Guadalajara, Jal.",,,,,,20.6705427,-103.3966149,,,,,,,0,,,"https://www.google.com/maps/place/LLANTERA+BRAVO/@20.6705427,-103.3966149,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b21be283559b:0x2f8e3b4ea58b0a64!8m2!3d20.6595707!4d-103.3413545!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb5IBDnVzZWRfdGlyZV9zaG9w4AEA!16s%2Fg%2F1ptwyhhdv?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:30:58.174Z
3,0x8428adf99b42a3c1:0x4bb20c1daa8b0ccc,LLANTERA MOVIL 24hrs CUELLAR,4.2,,"Av Enrique Díaz de León 1236-A, Del Fresno, 44900 Guadalajara, Jal.",,,,,,20.6705427,-103.3966149,,,,,,,0,,,"https://www.google.com/maps/place/LLANTERA+MOVIL+24hrs+CUELLAR/@20.6705427,-103.3966149,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428adf99b42a3c1:0x4bb20c1daa8b0ccc!8m2!3d20.6553862!4d-103.3637966!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb5IBEHRpcmVfcmVwYWlyX3Nob3DgAQA!16s%2Fg%2F1ptxbs921?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:30:58.505Z
4,0x8428b1002a7b7c95:0x3b1af18841728aeb,Llantera 24/7,3.5,,"Calz Independencia Sur 448, San Juan de Dios, 44360 Guadalajara, Jal.",,,,,,20.6705427,-103.3966149,,,,,,,0,,,"https://www.google.com/maps/place/Llantera+24%2F7/@20.6705427,-103.3966149,13z/data=!3m1!5s0x8428adf99cb6e785:0x9ab844069d0a0ad8!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b1002a7b7c95:0x3b1af18841728aeb!8m2!3d20.680214!4d-103.338899!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb5IBEHRpcmVfcmVwYWlyX3Nob3DgAQA!16s%2Fg%2F11y5fc4gjy?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:30:58.835Z
5,0x8428b3c22bc4958f:0xc513704c575c6c73,Llantera 5 de febrero,3.9,Taller de automóviles,"Av 5 de Febrero 362, Las Conchas, 44460 Guadalajara, Jal.",,,,,,20.6705427,-103.3966149,,,,,,,0,,,"https://www.google.com/maps/place/Llantera+5+de+febrero/@20.6705427,-103.3966149,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b3c22bc4958f:0xc513704c575c6c73!8m2!3d20.6602794!4d-103.3409575!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb5IBCmNhcl9yZXBhaXLgAQA!16s%2Fg%2F11j7dpm0n4?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:30:59.178Z
6,0x8428b380e5291beb:0x1b10d86846b1ab16,Llantera móvil 24 horas 2 hermanos,1.9,,"C. Nicolás Bravo, Las Conchas, 44460 Guadalajara, Jal.",,,,,,20.6705427,-103.3966149,,,,,,,0,,,"https://www.google.com/maps/place/Llantera+m%C3%B3vil+24+horas+2+hermanos/@20.6705427,-103.3966149,13z/data=!3m1!5s0x8428b2195343c7d3:0x5939cb5152bef664!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b380e5291beb:0x1b10d86846b1ab16!8m2!3d20.660237!4d-103.341165!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb5IBEHRpcmVfcmVwYWlyX3Nob3DgAQA!16s%2Fg%2F11rzfz2m22?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:30:59.473Z
7,0x8428b1627776d885:0xebf5e0d2d0d6efa1,Llantera sanplayer,3.9,Servicio de alquiler de coches,"Calz. del Federalismo Sur 259, Col Americana, Zona Centro, 44100 Guadalajara, Jal.",llanteramovil24horas@gmail.com,llanteramovil24horas@gmail.com,https://llanteramovil24horas.inde.mx/,,,20.6553862,-103.4400143,,,,,052,,0,,,"https://www.google.com/maps/place/Llantera+sanplayer/@20.6553862,-103.4400143,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b1627776d885:0xebf5e0d2d0d6efa1!8m2!3d20.6724799!4d-103.3545139!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb5IBC2Nhcl9zZXJ2aWNl4AEA!16s%2Fg%2F11k3djbh32?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:02.021Z
8,0x8428adb07f465e6b:0xfcf92a181fae45eb,Llantera Movil Guadalajara,4.7,Tienda de neumáticos,"Av. Cruz del Sur 3365, Loma Bonita, 45085 Zapopan, Jal.",contacto@llanteramovil.com,contacto@llanteramovil.com,http://www.llanteramovil.com/,,,20.6553862,-103.4400143,,,https://instagram.com/llanteramovil.gdl,,523315684991,,0,,,"https://www.google.com/maps/place/Llantera+Movil+Guadalajara/@20.6553862,-103.4400143,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428adb07f465e6b:0xfcf92a181fae45eb!8m2!3d20.6297206!4d-103.4061858!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb1ohIh9sbGFudGVyYSBlbiBndWFkYWxhamFyYSBtw6l4aWNvkgEJdGlyZV9zaG9w4AEA!16s%2Fg%2F11pdxnkj0m?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:04.587Z
9,0x8428b189ec5ee625:0xde91e23917060c78,Llantera Memos,4.5,Tienda de neumáticos,"C. Valentín Gómez Farías 810, Real, 44400 Guadalajara, Jal.",,,https://instagram.com/llanteramemos02?utm_source=qr&igshid=YzU1NGVlODEzOA==,,,20.6297206,-103.4824035,,,https://instagram.com/rsrc.php,,,,0,,,"https://www.google.com/maps/place/Llantera+Memos/@20.6297206,-103.4824035,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428b189ec5ee625:0xde91e23917060c78!8m2!3d20.6684232!4d-103.3288965!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb5IBCXRpcmVfc2hvcOABAA!16s%2Fg%2F11fy4fw34s?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:05.779Z
10,0x8428ae19c32c6da7:0x99c317cc8a51cfb1,Llantera Simón & Simón,4.7,Tienda de neumáticos,"C. Pedro Antonio Buzeta 391, Ladron De Guevara, 44600 Guadalajara, Jal.",,,,,,20.6684232,-103.4051142,"MJMJ+65 Guadalajara, Jalisco",,,,,,0,"Buena atención, mucho equipo, te sacan del apuro en cualquier cuestión de llantas, pinchaduras, parches, etc muy recomendable",5,"https://www.google.com/maps/place/Llantera+Sim%C3%B3n+%26+Sim%C3%B3n/@20.6684232,-103.4051142,13z/data=!4m11!1m3!2m2!1sllantera+en+guadalajara,+M%C3%A9xico!6e6!3m6!1s0x8428ae19c32c6da7:0x99c317cc8a51cfb1!8m2!3d20.683092!4d-103.369574!15sCiBsbGFudGVyYSBlbiBndWFkYWxhamFyYSwgTcOpeGljb5IBCXRpcmVfc2hvcOABAA!16s%2Fg%2F1q2vwf321?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T04:31:06.322Z
