position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Pediatra en Culiacán - Dr. Edgardo Tostado,,,,,,,,,,,,https://www.google.com/maps/place/Pediatra+en+Culiac%C3%A1n+-+Dr.+Edgardo+Tostado/data=!4m7!3m6!1s0x86bcd102da3dde9b:0xdbacc7a0724b2539!8m2!3d24.8099891!4d-107.4001064!16s%2Fg%2F11sj9tq937!19sChIJm9492gLRvIYROSVLcqDHrNs?authuser=0&hl=es&rclk=1,2026-01-16T19:57:25.658Z
2,Dra. Joahana Castañeda (pediatra especialista en culiacan),,,,,,,,,,,,https://www.google.com/maps/place/Dra.+Joahana+Casta%C3%B1eda+%28pediatra+especialista+en+culiacan%29/data=!4m7!3m6!1s0x86bcd7ec27ee1627:0x4ce3b279c774e70f!8m2!3d24.8147296!4d-107.373086!16s%2Fg%2F11qg3pfp2s!19sChIJJxbuJ-zXvIYRD-d0x3my40w?authuser=0&hl=es&rclk=1,2026-01-16T19:57:29.665Z
3,Dra. Citlaly Ochoa Neumología pediátrica - Neumologo pediatra Culiacán,,,,,,,,,,,,https://www.google.com/maps/place/Dra.+Citlaly+Ochoa+Neumolog%C3%ADa+pedi%C3%A1trica+-+Neumologo+pediatra+Culiac%C3%A1n/data=!4m7!3m6!1s0x86bcdbd584d7139f:0x8ab057e32707e1bf!8m2!3d24.8085669!4d-107.3910063!16s%2Fg%2F11vs51gp_2!19sChIJnxPXhNXbvIYRv-EHJ-NXsIo?authuser=0&hl=es&rclk=1,2026-01-16T19:57:33.465Z
4,"Dra. María Antonia Jiménez López, Pediatra",,,,,,,,,,,,"https://www.google.com/maps/place/Dra.+Mar%C3%ADa+Antonia+Jim%C3%A9nez+L%C3%B3pez,+Pediatra/data=!4m7!3m6!1s0x86bcd10ed1065b67:0xbf09982f72d2f44d!8m2!3d24.8127662!4d-107.3754224!16s%2Fg%2F11q8jsrjss!19sChIJZ1sG0Q7RvIYRTfTSci-YCb8?authuser=0&hl=es&rclk=1",2026-01-16T19:57:37.326Z
5,Dra. María Fernanda Benítez Arias - Pediatra,,,,,,,,,,,,https://www.google.com/maps/place/Dra.+Mar%C3%ADa+Fernanda+Ben%C3%ADtez+Arias+-+Pediatra/data=!4m7!3m6!1s0x86bcdb816b2e283d:0x107daf2f4aae43b9!8m2!3d24.8265084!4d-107.3892796!16s%2Fg%2F11s1nz4d83!19sChIJPSgua4HbvIYRuUOuSi-vfRA?authuser=0&hl=es&rclk=1,2026-01-16T19:57:41.136Z
6,Pediatra en Culiacán - Dra. Nery Amézquita,,,,,,,,,,,,https://www.google.com/maps/place/Pediatra+en+Culiac%C3%A1n+-+Dra.+Nery+Am%C3%A9zquita/data=!4m7!3m6!1s0x86bcdbc4687ca9b3:0xb582d5d5343e26b9!8m2!3d24.8254441!4d-107.3897396!16s%2Fg%2F11rycr8dlc!19sChIJs6l8aMTbvIYRuSY-NNXVgrU?authuser=0&hl=es&rclk=1,2026-01-16T19:57:45.188Z
7,Clínica Especialidades Pediátricas,,,,,,,,,,,,https://www.google.com/maps/place/Cl%C3%ADnica+Especialidades+Pedi%C3%A1tricas/data=!4m7!3m6!1s0x86bcd105d901175b:0xcc0607a45ea30aba!8m2!3d24.8099891!4d-107.4001064!16s%2Fg%2F11s6kv5xx_!19sChIJWxcB2QXRvIYRugqjXqQHBsw?authuser=0&hl=es&rclk=1,2026-01-16T19:57:49.027Z
8,"Dra. Nessie Arely Galindo Vázquez, Pediatra",,,,,,,,,,,,"https://www.google.com/maps/place/Dra.+Nessie+Arely+Galindo+V%C3%A1zquez,+Pediatra/data=!4m7!3m6!1s0x86bcd76f14f97949:0x9d017a59c5f18c33!8m2!3d24.8155174!4d-107.3654098!16s%2Fg%2F11j07vv70l!19sChIJSXn5FG_XvIYRM4zxxVl6AZ0?authuser=0&hl=es&rclk=1",2026-01-16T19:57:52.889Z
9,Odontopediatra Doctor Kids,,,,,,,,,,,,https://www.google.com/maps/place/Odontopediatra+Doctor+Kids/data=!4m7!3m6!1s0x86bcd757ebe8dc95:0x7510f3d3cd72f765!8m2!3d24.814495!4d-107.3743868!16s%2Fg%2F11cjpctxt_!19sChIJldzo61fXvIYRZfdyzdPzEHU?authuser=0&hl=es&rclk=1,2026-01-16T19:57:56.609Z
10,"Dr. Octavio Herrera Zaragoza, Pediatra",,,,,,,,,,,,"https://www.google.com/maps/place/Dr.+Octavio+Herrera+Zaragoza,+Pediatra/data=!4m7!3m6!1s0x86bcdb15b3cd140b:0xb80478ca64951739!8m2!3d24.8294523!4d-107.4001833!16s%2Fg%2F11rg7df3d1!19sChIJCxTNsxXbvIYROReVZMp4BLg?authuser=0&hl=es&rclk=1",2026-01-16T19:58:00.699Z
