position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Pediatra en Culiacán - Dr. Edgardo Tostado,,,,,,,,,,,,https://www.google.com/maps/place/Pediatra+en+Culiac%C3%A1n+-+Dr.+Edgardo+Tostado/data=!4m7!3m6!1s0x86bcd102da3dde9b:0xdbacc7a0724b2539!8m2!3d24.8099891!4d-107.4001064!16s%2Fg%2F11sj9tq937!19sChIJm9492gLRvIYROSVLcqDHrNs?authuser=0&hl=es&rclk=1,2026-01-16T20:02:53.112Z
2,"Dr. Miguel Ángel Garrido Rojo, Cirujano pediátrico",,,,,,,,,,,,"https://www.google.com/maps/place/Dr.+Miguel+%C3%81ngel+Garrido+Rojo,+Cirujano+pedi%C3%A1trico/data=!4m7!3m6!1s0x86bcd0aeecaa603d:0x4b15ddb655c893f3!8m2!3d24.8079828!4d-107.3921998!16s%2Fg%2F1tg1651s!19sChIJPWCq7K7QvIYR85PIVbbdFUs?authuser=0&hl=es&rclk=1",2026-01-16T20:02:56.900Z
3,"Dra. Laura Gabriela Espinosa Castro, Pediatra",,,,,,,,,,,,"https://www.google.com/maps/place/Dra.+Laura+Gabriela+Espinosa+Castro,+Pediatra/data=!4m7!3m6!1s0x869f55f9bfa7d3bd:0x5a677bb5d7cee4cd!8m2!3d23.2436771!4d-106.4409332!16s%2Fg%2F11t80n_85x!19sChIJvdOnv_lVn4YRzeTO17V7Z1o?authuser=0&hl=es&rclk=1",2026-01-16T20:03:00.911Z
4,Circulo Pediatrico De Culiacan Sc,,,,,,,,,,,,https://www.google.com/maps/place/Circulo+Pediatrico+De+Culiacan+Sc/data=!4m7!3m6!1s0x86bcd0b2b2e3d467:0x8a69d35060a98feb!8m2!3d24.8019485!4d-107.393615!16s%2Fg%2F1vyswzpb!19sChIJZ9TjsrLQvIYR64-pYFDTaYo?authuser=0&hl=es&rclk=1,2026-01-16T20:03:04.940Z
5,Dr. Ismael Camacho Quintero - Pediatra y Centro de Vacunacion,,,,,,,,,,,,https://www.google.com/maps/place/Dr.+Ismael+Camacho+Quintero+-+Pediatra+y+Centro+de+Vacunacion/data=!4m7!3m6!1s0x869f53946fa0b687:0xbe6c68e45ed3a074!8m2!3d23.1998173!4d-106.4219864!16s%2Fg%2F1tg9nkxj!19sChIJh7agb5RTn4YRdKDTXuRobL4?authuser=0&hl=es&rclk=1,2026-01-16T20:03:08.964Z
6,Dra.Chantal Alejandra Mardueño García Pediatría,,,,,,,,,,,,https://www.google.com/maps/place/Dra.Chantal+Alejandra+Mardue%C3%B1o+Garc%C3%ADa+Pediatr%C3%ADa/data=!4m7!3m6!1s0x869f531ba56f5039:0x4382e9f708e83606!8m2!3d23.2479663!4d-106.4375448!16s%2Fg%2F11yb_9gxmy!19sChIJOVBvpRtTn4YRBjboCPfpgkM?authuser=0&hl=es&rclk=1,2026-01-16T20:03:12.980Z
7,Plebitos Pediatría,,,,,,,,,,,,https://www.google.com/maps/place/Plebitos+Pediatr%C3%ADa/data=!4m7!3m6!1s0x869f530ed1d70a2f:0xe2597c94f71a618a!8m2!3d23.2593883!4d-106.4430725!16s%2Fg%2F11v9spdy_r!19sChIJLwrX0Q5Tn4YRimEa95R8WeI?authuser=0&hl=es&rclk=1,2026-01-16T20:03:16.989Z
8,"INPED, DR CARLOS A. VELAZQUEZ RIOS",,,,,,,,,,,,"https://www.google.com/maps/place/INPED,+DR+CARLOS+A.+VELAZQUEZ+RIOS/data=!4m7!3m6!1s0x86bcd1a354b03905:0xebe2baec8a8df9b6!8m2!3d24.8000727!4d-107.3931741!16s%2Fg%2F11rxpf5k5y!19sChIJBTmwVKPRvIYRtvmNiuy64us?authuser=0&hl=es&rclk=1",2026-01-16T20:03:21.002Z
9,Dr. Jorge Fuentevilla Wheatley,,,,,,,,,,,,https://www.google.com/maps/place/Dr.+Jorge+Fuentevilla+Wheatley/data=!4m7!3m6!1s0x869f5393e2816ef5:0x880c931851444b9b!8m2!3d23.2010163!4d-106.423628!16s%2Fg%2F1tc_x0td!19sChIJ9W6B4pNTn4YRm0tEURiTDIg?authuser=0&hl=es&rclk=1,2026-01-16T20:03:25.026Z
10,Dra. Tavita Cázares Gómez,,,,,,,,,,,,https://www.google.com/maps/place/Dra.+Tavita+C%C3%A1zares+G%C3%B3mez/data=!4m7!3m6!1s0x86bcd1a653e2a73d:0x55070817dc57e3b1!8m2!3d24.808356!4d-107.3912357!16s%2Fg%2F11rtq_zf1h!19sChIJPafiU6bRvIYRseNX3BcIB1U?authuser=0&hl=es&rclk=1,2026-01-16T20:03:28.834Z
