position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Construrama Culiacán,4.5,,C. Miguel Hidalgo 696,,,667 712 1309,https://construrama.com/culiacan?utm_medium=GMB&utm_source=dmmx_referral,Cerrado,,,,https://www.google.com/maps/place/Construrama+Culiac%C3%A1n/data=!4m7!3m6!1s0x86bcd7574d6d24f9:0xd6ae2b8158a4c0d!8m2!3d24.8094049!4d-107.3871383!16s%2Fg%2F1thbx2qq!19sChIJ-SRtTVfXvIYRDUyKFbjiag0?authuser=0&hl=es&rclk=1,2026-01-11T22:27:10.225Z
2,Kuroda Sanalona,4.6,,,,,667 712 4063,https://www.kuroda.com/,Cerrado,,,,https://www.google.com/maps/place/Kuroda+Sanalona/data=!4m7!3m6!1s0x86bcd741f66da233:0x90b539130f173244!8m2!3d24.8020146!4d-107.369217!16s%2Fg%2F1thx4h9q!19sChIJM6Jt9kHXvIYRRDIXDxM5tZA?authuser=0&hl=es&rclk=1,2026-01-11T22:27:10.225Z
3,Kuroda Bravo,4.5,,,,"· Avenida Nicolás Bravo & Calle General Juan José Rios SN, Jorge Almada",667 712 2104,https://kuroda.com/,Cerrado,,,,https://www.google.com/maps/place/Kuroda+Bravo/data=!4m7!3m6!1s0x86bcd0bc90a7af87:0x80928f86faf3b22d!8m2!3d24.8006185!4d-107.4022496!16s%2Fg%2F1tgx2gb1!19sChIJh6-nkLzQvIYRLbLz-oaPkoA?authuser=0&hl=es&rclk=1,2026-01-11T22:27:10.225Z
4,Kuroda Bombas,4.5,,Servicios de empresa a empresa,,,667 713 6480,https://kuroda.com/,Cerrado,,,,https://www.google.com/maps/place/Kuroda+Bombas/data=!4m7!3m6!1s0x86bcd0bb581883a1:0x91b6bd4f7d66320f!8m2!3d24.7980293!4d-107.4025958!16s%2Fg%2F1wrtd8zp!19sChIJoYMYWLvQvIYRDzJmfU-9tpE?authuser=0&hl=es&rclk=1,2026-01-11T22:27:10.225Z
5,Fontanería Y Caños Zapopan,4.7,,Fontanero,,,33 3833 3188,http://fontaneriaydrenajeszapopan.com/,Abierto las 24 horas,,,,https://www.google.com/maps/place/Fontaner%C3%ADa+Y+Ca%C3%B1os+Zapopan/data=!4m7!3m6!1s0x8428af6b63e50ec5:0xd8e2bd3db7363371!8m2!3d20.7318687!4d-103.4225388!16s%2Fg%2F1tjfh4pp!19sChIJxQ7lY2uvKIQRcTM2tz294tg?authuser=0&hl=es&rclk=1,2026-01-11T22:27:10.225Z
6,Fontaneros En Guadalajara.,3.5,,Fontanero,,"· Capilla de jesus, Puebla 400",33 1365 6974,,· Cierra a las 12 a.m.,,,,https://www.google.com/maps/place/Fontaneros+En+Guadalajara./data=!4m7!3m6!1s0x8428b1e17d45fc7b:0x2fcf9b433b1ae680!8m2!3d20.6826886!4d-103.3551667!16s%2Fg%2F11f4qbkldm!19sChIJe_xFfeGxKIQRgOYaO0Obzy8?authuser=0&hl=es&rclk=1,2026-01-11T22:27:10.225Z
7,Fontanería Y Caños Tabachines,4.5,,Fontanero,,,33 3672 1416,http://fontaneriatabachines.com/,Abierto las 24 horas,,,,https://www.google.com/maps/place/Fontaner%C3%ADa+Y+Ca%C3%B1os+Tabachines/data=!4m7!3m6!1s0x8428afe457c25939:0x90b72760f5605357!8m2!3d20.7431049!4d-103.366829!16s%2Fg%2F11rn4qnc4y!19sChIJOVnCV-SvKIQRV1Ng9WAnt5A?authuser=0&hl=es&rclk=1,2026-01-11T22:27:10.225Z
8,"Fontaneria, Electricidad y Pintura. EFICALI",4.4,,Fontanero,,,389 101 4008,https://fontaneroselectricistaseficali.negocio.site/,· Cierra a las 6 p.m.,,,,"https://www.google.com/maps/place/Fontaneria,+Electricidad+y+Pintura.+EFICALI/data=!4m7!3m6!1s0x8428b1fc89adcd11:0x5bf390c21147d83!8m2!3d20.6753733!4d-103.290605!16s%2Fg%2F11h1974yt9!19sChIJEc2tifyxKIQRg30UIQw5vwU?authuser=0&hl=es&rclk=1",2026-01-11T22:27:10.226Z
9,destapacaños en guadalajara,4.7,,Fontanero,,,33 3724 4105,,Cerrado,,,,https://www.google.com/maps/place/destapaca%C3%B1os+en+guadalajara/data=!4m7!3m6!1s0x8428b21dd5b53619:0x1d1c4842bd7ab94a!8m2!3d20.663507!4d-103.341581!16s%2Fg%2F11bwr9k3xj!19sChIJGTa11R2yKIQRSrl6vUJIHB0?authuser=0&hl=es&rclk=1,2026-01-11T22:27:10.226Z
10,Electrofon,4.6,,Fontanero,,,33 1137 9282,http://fontanerosguadalajara.mx/,Cerrado,,,,https://www.google.com/maps/place/Electrofon/data=!4m7!3m6!1s0x8428af8f250b6b0f:0x528d5dc3b1eeb334!8m2!3d20.663372!4d-103.420029!16s%2Fg%2F11gz9b4lhs!19sChIJD2sLJY-vKIQRNLPuscNdjVI?authuser=0&hl=es&rclk=1,2026-01-11T22:27:10.226Z
