position,name,rating,reviewCount,category,priceLevel,address,phone,website,hours,latitude,longitude,plusCode,profileUrl,scrapedAt
1,Cenaduria La cochera,4.5,,Restaurante,,,,,· Cierra a las 8:30 p.m.,,,,https://www.google.com/maps/place/Cenaduria+La+cochera/data=!4m7!3m6!1s0x86bcd757eff9ee57:0x3158c60e74e2b0da!8m2!3d24.8169877!4d-107.3738868!16s%2Fg%2F11cn3cnx9y!19sChIJV-7571fXvIYR2rDidA7GWDE?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
2,Taquería Sinaloa,4.5,,Taquería,,"· Blvrd Sinaloa, Las Quintas",,,Cerrado,,,,https://www.google.com/maps/place/Taquer%C3%ADa+Sinaloa/data=!4m7!3m6!1s0x86bcd75792d445e3:0x5f822c5aee6d66db!8m2!3d24.8158744!4d-107.374335!16s%2Fg%2F11clwnmyn_!19sChIJ40XUklfXvIYR22Zt7losgl8?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
3,Vía Verde,4.5,,Restaurante,,,,,· Cierra a las 5 p.m.,,,,https://www.google.com/maps/place/V%C3%ADa+Verde/data=!4m7!3m6!1s0x86bcd757ee48ebaf:0x7b62b2449ec70962!8m2!3d24.816595!4d-107.3738479!16s%2Fg%2F12lskx3f8!19sChIJr-tI7lfXvIYRYgnHnkSyYns?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
4,TACOS ARRE LULU,4.2,,Taquería,,"· cd. de puebla, Blvrd Sinaloa 1309 esq",,,Cerrado,,,,https://www.google.com/maps/place/TACOS+ARRE+LULU/data=!4m7!3m6!1s0x86bcd757e5035847:0x120c7519bc14e382!8m2!3d24.817392!4d-107.3744842!16s%2Fg%2F1tmxf_bv!19sChIJR1gD5VfXvIYRguMUvBl1DBI?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
5,Ocean China,4.5,,Restaurante chino,,,,,· Cierra a las 7:30 p.m.,,,,https://www.google.com/maps/place/Ocean+China/data=!4m7!3m6!1s0x86bcd757e7198821:0x49df45c9daa35b2e!8m2!3d24.8170315!4d-107.3743308!16s%2Fg%2F1tdl1_mv!19sChIJIYgZ51fXvIYRLluj2slF30k?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
6,Tacos el Zurdo,4.3,,Taquería,,"· Gran Avenida El Dorado, Las Quintas",,,Cerrado,,,,https://www.google.com/maps/place/Tacos+el+Zurdo/data=!4m7!3m6!1s0x86bcd9fd36c0813f:0x9d68cf98682c537c!8m2!3d24.8192409!4d-107.3735991!16s%2Fg%2F1232p593t!19sChIJP4HANv3ZvIYRfFMsaJjPaJ0?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
7,Palomar de los Pobres,4.6,,Taquería,,,,,· Cierra a las 9:30 p.m.,,,,https://www.google.com/maps/place/Palomar+de+los+Pobres/data=!4m7!3m6!1s0x86bcd757e60f5c27:0x6a8b9c9e894cc31!8m2!3d24.8139939!4d-107.3749768!16s%2Fg%2F1tfbns3v!19sChIJJ1wP5lfXvIYRMcyU6Mm5qAY?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
8,Tai Pak Las Quintas,4.1,,Restaurante asiático,,,,,· Cierra a las 8 p.m.,,,,https://www.google.com/maps/place/Tai+Pak+Las+Quintas/data=!4m7!3m6!1s0x86bcd9e2cc3aa371:0xd729c5fd9c9a4042!8m2!3d24.81947!4d-107.372977!16s%2Fg%2F1hf126d2n!19sChIJcaM6zOLZvIYRQkCanP3FKdc?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
9,Tacos El Güero Las Quintas,4.6,,Taquería,,,,,,,,,https://www.google.com/maps/place/Tacos+El+G%C3%BCero+Las+Quintas/data=!4m7!3m6!1s0x86bcd7546f5c5d4b:0xc3b6c1c7c80343cf!8m2!3d24.8121283!4d-107.3808645!16s%2Fg%2F11bwn6v14w!19sChIJS11cb1TXvIYRz0MDyMfBtsM?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
10,Taqueria benavides,4.9,,Taquería,,"· Estado de Tabasco, Las Quintas",,,,,,,https://www.google.com/maps/place/Taqueria+benavides/data=!4m7!3m6!1s0x86bcd792db47b97b:0x2503024c32ebc961!8m2!3d24.8174699!4d-107.3692325!16s%2Fg%2F11hdxm7lr_!19sChIJe7lH25LXvIYRYcnrMkwCAyU?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
11,Taquería Mayel,4.5,,Taquería,,,,,Abierto las 24 horas,,,,https://www.google.com/maps/place/Taquer%C3%ADa+Mayel/data=!4m7!3m6!1s0x86bcd74f9a8fee8f:0x9111a6dfff11852!8m2!3d24.8037018!4d-107.3734077!16s%2Fg%2F11bwgvj7zl!19sChIJj-6Pmk_XvIYRUhjx_20aEQk?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
12,Pinches tacos,,,No hay reseñas,,,,,· Cierra a las 11 p.m.,,,,https://www.google.com/maps/place/Pinches+tacos/data=!4m7!3m6!1s0x86bcd9fb95594757:0x6bbd64d13d6b00e5!8m2!3d24.820668!4d-107.3744944!16s%2Fg%2F11w7mjx_y_!19sChIJV0dZlfvZvIYR5QBrPdFkvWs?authuser=0&hl=es&rclk=1,2026-01-11T22:46:12.330Z
