position,name,rating,reviewCount,category,address,phone,email,website,instagram,facebook,whatsapp,hours,profileUrl,scrapedAt
1,DEPORTES COSMOS S.A. DE C.V,4.3,43,Tienda de deportes,"Av. Antonio Rosales 290, Primer Cuadro, 80000 Culiacán Rosales, Sin.",6677124616,,https://business.google.com/b/102670949647434662268/edit/l/02552126192725513378?pageId=102670949647434662268&hl=es,,,,,"https://www.google.com/maps/place/DEPORTES+COSMOS+S.A.+DE+C.V/@24.8239388,-107.4185657,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd0a60cfaabfd:0xd94909b28209e125!8m2!3d24.8093301!4d-107.3980585!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb5IBFHNwb3J0aW5nX2dvb2RzX3N0b3Jl4AEA!16s%2Fg%2F1td7j56y?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:13:50.515Z
2,Alcampo Outdoor Sports Madero Matriz,4.7,43,Tienda de deportes al aire libre,"Blvd. Francisco I. Madero #302 Pte, Centro, 80000 Culiacán Rosales, Sin.",6677128555,,,,,,,"https://www.google.com/maps/place/Alcampo+Outdoor+Sports+Madero+Matriz/@24.8239388,-107.4185657,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd0adfd465ba9:0x7125a2d9eff65954!8m2!3d24.8042435!4d-107.3978504!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb1onIiV0aWVuZGFzIGRlcG9ydGl2YXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEUb3V0ZG9vcl9zcG9ydHNfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUjFORTlYUVVsM0VBReABAPoBBAhNEDc!16s%2Fg%2F1tfqrctk?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:13:53.594Z
3,Deportes Cano,4.7,43,Tienda de deportes,"C. Miguel Hidalgo 713-A, Primer Cuadro, 80000 Culiacán Rosales, Sin.",6677157660,,,,,,,"https://www.google.com/maps/place/Deportes+Cano/@24.8239388,-107.4185657,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd0a23c03bd2f:0xb3bbe2ba29f58d4b!8m2!3d24.8095886!4d-107.3868569!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb1onIiV0aWVuZGFzIGRlcG9ydGl2YXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEUc3BvcnRpbmdfZ29vZHNfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxOM1F6U3paUlJSQULgAQD6AQQIABA-!16s%2Fg%2F1tfcz7p6?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:13:56.061Z
4,Deportiva Indio,4.2,43,Tienda de deportes,"Av. Jose María Morelos Nte. 187, Primer Cuadro, Centrro, 80000 Culiacán Rosales, Sin.",6677150481,,,,,,,"https://www.google.com/maps/place/Deportiva+Indio/@24.8239388,-107.4185657,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd0a59e250d23:0x8c9810b37245729c!8m2!3d24.8060968!4d-107.3979667!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb1onIiV0aWVuZGFzIGRlcG9ydGl2YXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEUc3BvcnRpbmdfZ29vZHNfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTNhVTlxTUdWUkVBReABAPoBBAgAED4!16s%2Fg%2F1w0sd99q?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:13:58.594Z
5,Jasa Sport,4.6,43,Tienda de deportes,"Calle Constitución 80, Miguel Alemán, 80200 Culiacán Rosales, Sin.",6677123093,,,,,,,"https://www.google.com/maps/place/Jasa+Sport/@24.8239388,-107.4185657,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcda1909abaa65:0xdaa5207bc5dc25f7!8m2!3d24.7991483!4d-107.393129!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb1onIiV0aWVuZGFzIGRlcG9ydGl2YXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEUc3BvcnRpbmdfZ29vZHNfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlBhR0kzZG1GM0VBReABAPoBBAgAEDs!16s%2Fg%2F1tsykmlc?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:14:00.896Z
6,Deportes Joyce,4.3,43,Tienda de deportes,"INSURGENTES SUR 970, CULIACAN, SINALOA INSURGENTES SUR 970 LOCAL 2D DEP JOYCE, CENTRO, 80129 Culiacán Rosales, Sin.",6677141761,,,,,,,"https://www.google.com/maps/place/Deportes+Joyce/@24.8239388,-107.4185657,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bc78b75a5389e7:0xc45abf8f3322f7c7!8m2!3d24.7946035!4d-107.4112195!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb1onIiV0aWVuZGFzIGRlcG9ydGl2YXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEUc3BvcnRpbmdfZ29vZHNfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmxORjlMYWsxQkVBReABAPoBBAgAEDI!16s%2Fg%2F1tg5vh81?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:14:02.756Z
7,Rochin Sport,,43,Tienda de deportes,"Centro Cívico, Constitución, 80000 Culiacán Rosales, Sin.",6671252837,soyrsport@gmail.com,https://rohin-sport.ueniweb.com/?utm_campaign=gmb,,facebook.com/share.php,,,"https://www.google.com/maps/place/Rochin+Sport/@24.7946035,-107.4493283,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd79a6810160f:0x6525331d96eb5544!8m2!3d24.8129451!4d-107.3833859!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb5IBFHNwb3J0aW5nX2dvb2RzX3N0b3Jl4AEA!16s%2Fg%2F11fp5n650n?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:14:06.057Z
8,Alcampo Outdoors Sports Mercadito Juarez,4.8,43,Tienda de deportes al aire libre,"Calle Benito Juarez 478 Oriente, Primer Cuadro, 80000 Culiacán Rosales, Sin.",6677120319,,,,,,,"https://www.google.com/maps/place/Alcampo+Outdoors+Sports+Mercadito+Juarez/@24.8129451,-107.4214947,14z/data=!3m1!5s0x86bcd0ac30ce0d63:0xe716503b1796b0a5!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcda19a671864d:0xca80b1139cb9066!8m2!3d24.8076846!4d-107.3897163!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb1onIiV0aWVuZGFzIGRlcG9ydGl2YXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEUb3V0ZG9vcl9zcG9ydHNfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVTlJaMDlMWDFabkVBReABAPoBBAgAECc!16s%2Fg%2F1tgj97zj?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:14:08.333Z
9,Almonte Cacerias Y Deportes Sa De Cv,4.7,43,Tienda de deportes,"Juan B. Sepúlveda 244, Primer Cuadro, 80000 Culiacán Rosales, Sin.",6677152700,,,,,,,"https://www.google.com/maps/place/Almonte+Cacerias+Y+Deportes+Sa+De+Cv/@24.8129451,-107.4214947,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd7410a5111c7:0x26ddffd0830cbebc!8m2!3d24.8077444!4d-107.3868017!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb5IBFHNwb3J0aW5nX2dvb2RzX3N0b3Jl4AEA!16s%2Fg%2F1tfv0_50?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:14:11.364Z
10,Deportiva Del Pacifico Sa De Cv,4.4,43,Tienda de uniformes,"Av. Gral. Domingo Rubí Sur 60, Primer Cuadro, Centro, 80000 Culiacán Rosales, Sin.",6677162590,,,,,,,"https://www.google.com/maps/place/Deportiva+Del+Pacifico+Sa+De+Cv/@24.8129451,-107.4214947,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd0af8d16037d:0xccf2c6a6f817631e!8m2!3d24.8051809!4d-107.3959111!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb1onIiV0aWVuZGFzIGRlcG9ydGl2YXMgZW4gY3VsaWFjYW4gbWV4aWNvkgENdW5pZm9ybV9zdG9yZZoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWE1EUmZVSGRCUlJBQuABAPoBBAgAEBY!16s%2Fg%2F1tffvclq?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:14:14.212Z
11,Innovasport Forum Culiacán,4.4,43,Tienda de deportes,"Diego Valadés Ríos 1676, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin.",6673090866,,https://www.innovasport.com/,instagram.com/nbastoremex,facebook.com/innovasport,,,"https://www.google.com/maps/place/Innovasport+Forum+Culiac%C3%A1n/@24.8129451,-107.4214947,14z/data=!3m1!5s0x86bcda09e07e44e7:0xd2a738d88aefc6a3!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd0a763ddb18f:0x174ef55a84302f47!8m2!3d24.81368!4d-107.399961!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb1onIiV0aWVuZGFzIGRlcG9ydGl2YXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEUc3BvcnRpbmdfZ29vZHNfc3RvcmWaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhjaTFtT1U1UkVBReABAPoBBAgAEEI!16s%2Fg%2F12hnx95k3?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:14:18.859Z
12,dportenis Alvaro Obregón,4.5,43,Tienda de deportes,"Alvaro Obregón No. 298 Centro, centro, 80308 Culiacán Rosales, Sin.",6677124841,info@AuroraESite.xxx,https://www.dportenis.mx/,,,526699155300,,"https://www.google.com/maps/place/dportenis+Alvaro+Obreg%C3%B3n/@24.8129451,-107.4214947,14z/data=!4m11!1m3!2m2!1sTiendas+deportivas+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcda062143a2e7:0xc805eeb6dd86da59!8m2!3d24.8023482!4d-107.3943675!15sCiZUaWVuZGFzIGRlcG9ydGl2YXMgZW4gQ3VsaWFjYW4sIE1leGljb1onIiV0aWVuZGFzIGRlcG9ydGl2YXMgZW4gY3VsaWFjYW4gbWV4aWNvkgEUc3BvcnRpbmdfZ29vZHNfc3RvcmWaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXliSFJFTm10blJSQULgAQD6AQQIABAv!16s%2Fg%2F1tslk4qf?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T10:14:23.107Z
