position,name,rating,reviewCount,category,address,phone,email,website,instagram,facebook,whatsapp,hours,profileUrl,scrapedAt
1,Cerrajeria Las Vegas,4.7,45,Cerrajero,"Av Venustiano Carranza 377, Primer Cuadro, 80000 Culiacán Rosales, Sin.",6677951878,,,,,,Abierto · Cierra a las 11 p.m.,"https://www.google.com/maps/place/Cerrajeria+Las+Vegas/@24.8281312,-107.4155233,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcd70604724c4b:0xdc556a3237a3ce74!8m2!3d24.8093381!4d-107.3841302!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SAQlsb2Nrc21pdGiaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnMxVWxwdFRsUmhiV2hvV2xoc2VFOUlaRWhOTWxKdFZVaG9jVTR4UlJBQuABAPoBBAgAECY!16s%2Fg%2F11fhvxn589?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:05:42.331Z
2,Cerrajeria Las Quintas,4,45,Cerrajero,"Av. Sinaloa esq. Con Laguna de zayula 1398 Plaza Dolce plaza L 3, Blvrd Sinaloa col, Las Quintas, 80060 Culiacán Rosales, Sin.",6671503070,,http://facebook.com/cerrajeria-las-quintas-280302785909794/,,facebook.com/people,,,"https://www.google.com/maps/place/Cerrajeria+Las+Quintas/@24.8281312,-107.4155233,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcd9e641cb8cd3:0x36df0195bd9ffb90!8m2!3d24.8126499!4d-107.3741711!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SAQlsb2Nrc21pdGiaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmlkemRsWDNwM1JSQULgAQD6AQQIABAg!16s%2Fg%2F11qvctx_cq?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:05:45.610Z
3,CERRAJERIA VALENZUELA ( La mejor opción 🔑🔐🚗🏫🏭🏬🏪🌃🇲🇽),5,45,Cerrajero,"Esq. Con, Av. Obregón, C. Catedráticos 1690 Nte, Tierra Blanca, 80030 Culiacán Rosales, Sin.",6672431936,,,,,,,"https://www.google.com/maps/place/CERRAJERIA+VALENZUELA+(+La+mejor+opci%C3%B3n+%F0%9F%94%91%F0%9F%94%90%F0%9F%9A%97%F0%9F%8F%AB%F0%9F%8F%AD%F0%9F%8F%AC%F0%9F%8F%AA%F0%9F%8C%83%F0%9F%87%B2%F0%9F%87%BD)/@24.8281312,-107.4155233,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcdbb3ab656f59:0x738b2d80d621d3ac!8m2!3d24.8226083!4d-107.3961901!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SAQlsb2Nrc21pdGiaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTnFNRnB0VjBOQkVBReABAPoBBAgAEEQ!16s%2Fg%2F11stymvmq0?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:05:47.316Z
4,CERRAJERIA HERNAN CULIACAN,4.7,45,Cerrajero,"Calle Gral Rafael Buelna Tenorio 358 PONIENTE, Primer Cuadro, Centro, 80000 Culiacán Rosales, Sin.",6679967938,,http://cerrajeriahernanculiacan.com/,,,,Abierto · Cierra a las 6:30 p.m.,"https://www.google.com/maps/place/CERRAJERIA+HERNAN+CULIACAN/@24.8281312,-107.4155233,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcd161ce6c3e25:0xa7ddbb56ca98933c!8m2!3d24.8101228!4d-107.3994578!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SAQlsb2Nrc21pdGiaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXRPV0kzTUdkQlJSQULgAQD6AQQIABA-!16s%2Fg%2F11fmr63cyj?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:05:51.636Z
5,CERRAJERIA Key Solutions (C.U.),4.8,45,Cerrajero,"frente a ley express, Calle Universitarios Ote. 244-A, Burócrata, 80030 Culiacán Rosales, Sin.",6673151185,,,,,,,"https://www.google.com/maps/place/CERRAJERIA+Key+Solutions+(C.U.)/@24.8101228,-107.4375666,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcdb6fd1fee275:0xd0cd8c499ecc3b3d!8m2!3d24.8315138!4d-107.390544!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SAQlsb2Nrc21pdGiaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTldMWFIyY1RSUlJSQULgAQD6AQQIABAd!16s%2Fg%2F11g_x742n7?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:05:54.229Z
6,Cerrajeria El Alamo,4.4,45,Cerrajero,"Prol. Álvaro Obregón 2508, Ignacio Allende, 80010 Culiacán Rosales, Sin.",6671374767,,,,,,,"https://www.google.com/maps/place/Cerrajeria+El+Alamo/@24.8101228,-107.4375666,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcda19bb791d73:0x680f2362d7220ee3!8m2!3d24.834112!4d-107.3945632!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SAQlsb2Nrc21pdGiaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUklNMXAyY0VSbkVBReABAPoBBAgAEC8!16s%2Fg%2F1tcyxw88?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:05:56.041Z
7,Cerrajero de culiacan,4.6,45,Cerrajero,"Enrique cabrera 1524-102 (a Calle sarh, Dr. Enrique Cabrera esq, 80029 Culiacán Rosales, Sin.",6673486623,,https://cerrajerodeculiacan.com/,instagram.com/cerrajerodeculiacan,facebook.com/tr,5216673486623,,"https://www.google.com/maps/place/Cerrajero+de+culiacan/@24.8101228,-107.4375666,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcdb851fa10263:0x982991597a336203!8m2!3d24.832284!4d-107.4099965!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SAQlsb2Nrc21pdGiaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUnNkazFYYnkxblJSQULgAQD6AQQIABAs!16s%2Fg%2F11j4lwfd_l?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:06:01.990Z
8,Cerrajería El Caballito,4.6,45,Cerrajero,"Blvd. Emiliano Zapata 1660-Pte, Centro Sinaloa, 80000 Culiacán Rosales, Sin.",6679969409,,,,,,,"https://www.google.com/maps/place/Cerrajer%C3%ADa+El+Caballito/@24.8101228,-107.4375666,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcd05e7fa12289:0x710465038dd743fa!8m2!3d24.7931653!4d-107.4151212!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SAQlsb2Nrc21pdGiaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUlhlVnA1VGtsQkVBReABAPoBBAgAEEI!16s%2Fg%2F1tdwqjt2?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:06:04.015Z
9,Cerrajero de Emergencia,4.7,45,Servicio de duplicación de llaves,"Francisco Zarco 646, Miguel Alemán, 80230 Culiacán Rosales, Sin.",6672678067,seminuevosculiacan@hotmail.com,https://cerrajero-de-emergencia.ueniweb.com/?utm_campaign=gmb,,facebook.com/share.php,,,"https://www.google.com/maps/place/Cerrajero+de+Emergencia/@24.8101228,-107.4375666,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcd139657e60db:0xf42cac880f7659c8!8m2!3d24.7976071!4d-107.3909527!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SARdrZXlfZHVwbGljYXRpb25fc2VydmljZZoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VSV2FUbEhabFpCRUFF4AEA-gEECAAQOw!16s%2Fg%2F11ql146z3y?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:06:07.570Z
10,Cerrajeria 6 de Enero,4.2,45,Cerrajero,"Prol. Álvaro Obregón 3244, 6 de Enero, 80010 Culiacán Rosales, Sin.",6672279431,,,,,,,"https://www.google.com/maps/place/Cerrajeria+6+de+Enero/@24.8101228,-107.4375666,14z/data=!4m10!1m2!2m1!1sCerrajeros+en+Culiacan,+Mexico!3m6!1s0x86bcda23059afca9:0x876c7ea20ff89714!8m2!3d24.8415527!4d-107.3941769!15sCh5DZXJyYWplcm9zIGVuIEN1bGlhY2FuLCBNZXhpY29aHyIdY2VycmFqZXJvcyBlbiBjdWxpYWNhbiBtZXhpY2-SAQlsb2Nrc21pdGiaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTlhjR05oVVdoM1JSQULgAQD6AQQIABAk!16s%2Fg%2F11fzfcmkf5?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:06:09.777Z
