position,name,rating,reviewCount,category,address,phone,email,website,instagram,facebook,whatsapp,hours,profileUrl,scrapedAt
1,Vitallantas Centros de Servicio,4.2,,Tienda de neumáticos,"De Los Insurgentes 19, Centro Sinaloa, Centro, 80000 Culiacán Rosales, Sin.",6692408025,,http://www.vitallantas.com.mx/,,,,,"https://www.google.com/maps/place/Vitallantas+Centros+de+Servicio/@24.8250128,-107.4392605,12z/data=!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x86bcd0962d645b4b:0xaa0b1b7973fdbf20!8m2!3d24.804129!4d-107.405802!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEJdGlyZV9zaG9wmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU5HT0RsNWN6Tm5SUkFC4AEA-gEECBQQOg!16s%2Fg%2F1tfmj7np?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:20.917Z
2,Llantas Royal de Sinaloa - Progreso,4.5,,Tienda de neumáticos,"Calle Constitución S/N, Jorge Almada, 80200 Culiacán Rosales, Sin.",6677153800,TECMAZATLAN@LLANTASROYAL.MX,https://www.llantasroyaldesinaloa.com.mx/,,,5216671630897,,"https://www.google.com/maps/place/Llantas+Royal+de+Sinaloa+-+Progreso/@24.804129,-107.5582373,12z/data=!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x86bcd0ba417f80bf:0x625e84792116c669!8m2!3d24.7991729!4d-107.398365!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEJdGlyZV9zaG9wmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVVJKTVdZeWJIRjNSUkFC4AEA-gEECAAQPA!16s%2Fg%2F1tr7d75s?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:23.297Z
3,"Pima Llantas - Llantas automotriz, agrícola, industrial y camiones.",4.6,,Tienda de neumáticos,"Blvd. Emiliano Zapata 2210, Sin Asignación En Nombre de Asentamiento, El Vallado, 80110 Culiacán Rosales, Sin.",6677171411,iromero@pimallantas.com,http://www.pimallantas.com/,instagram.com/pimallantas,facebook.com/Pimallanta,5216673559582,,"https://www.google.com/maps/place/Pima+Llantas+-+Llantas+automotriz,+agr%C3%ADcola,+industrial+y+camiones./@24.804129,-107.5582373,12z/data=!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x86bcd724a2e0c87b:0x108fbaac1126cfea!8m2!3d24.7925576!4d-107.417652!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEJdGlyZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5sZWtsWWRtVjNFQUXgAQD6AQQIABA7!16s%2Fg%2F1tftlnhj?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:28.337Z
4,LLANTERA AYÓN,4.6,,Taller de automóviles,"Blvd. Emiliano Zapata 198, Guadalupe, 80220 Culiacán Rosales, Sin.",6677126921,,,,,,,"https://www.google.com/maps/place/LLANTERA+AY%C3%93N/@24.804129,-107.5582373,12z/data=!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x86bcd158ee7fbfa9:0x5044d123a1f30acc!8m2!3d24.7970891!4d-107.3961656!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEKY2FyX3JlcGFpcpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQyMU9VMDR5YXpOTk1UbEtURmMxYkZRd2RIbFRSMnd4Vlc1Q2FrNXNSUkFC4AEA-gEECAAQIQ!16s%2Fg%2F11f328mtys?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:28.884Z
5,Llantera Tamazula,4.5,,Tienda de neumáticos,"Blvd. Francisco I. Madero 4061, Villa Satélite, San Juan, 80240 Culiacán Rosales, Sin.",6671890198,sylvain.bougnoux_ext@michelin.com,http://www.michelin.com.mx/,instagram.com/michelin_mexico,facebook.com/MichelinMexico,,,"https://www.google.com/maps/place/Llantera+Tamazula/@24.804129,-107.5582373,12z/data=!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x86bcd76961fb6ab5:0x1090c12b879827d9!8m2!3d24.8027755!4d-107.3553632!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEJdGlyZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJDZDAxRFowNW5FQUXgAQD6AQQIHhAy!16s%2Fg%2F1tctg12b?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:30.263Z
6,MyM Llantas,4.6,,Tienda de neumáticos,"Blvd. Lola Beltrán 3367, La Conquista, 80058 Culiacán Rosales, Sin.",6677522540,mymllantas@hotmail.com,https://www.mymllantas.com/,,,5216671180157,,"https://www.google.com/maps/place/MyM+Llantas/@24.804129,-107.5582373,12z/data=!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x86bcd024383f4ef9:0x5bc28d68ce87a036!8m2!3d24.8116633!4d-107.4388124!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEJdGlyZV9zaG9wmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF3T0U1aGR6bG5SUkFC4AEA-gEECAAQPQ!16s%2Fg%2F1tghdk_f?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:32.283Z
7,Llantas Royal de Sinaloa - Pedro Infante,4.8,,Tienda de neumáticos,"Blvd. Pedro Infante 2207, COUNTRY TRES RIOS, 80107 Culiacán Rosales, Sin.",6677662797,TECMAZATLAN@LLANTASROYAL.MX,http://llantasroyaldesinaloa.com.mx/,,,5216671630897,,"https://www.google.com/maps/place/Llantas+Royal+de+Sinaloa+-+Pedro+Infante/@24.804129,-107.5582373,12z/data=!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x86bcd08905f5e557:0xf5d31fc66960c1ac!8m2!3d24.7962055!4d-107.4290237!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEJdGlyZV9zaG9wmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5zTWpSRFJrRlJFQUXgAQD6AQQIABAv!16s%2Fg%2F11hhjsmhwf?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:33.501Z
8,Llantera móvil,4.9,,,"Av San Miguel $1833, Av. San Miguel 1833, Fraccionamiento Pradera Dorada, 4, 82139 Mazatlán, Sin.",6693256748,,https://topllanteras.com/sinaloa/,,,,,"https://www.google.com/maps/place/Llantera+m%C3%B3vil/@24.804129,-107.5582373,12z/data=!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x8698addca2746073:0xa210d85437d94d0d!8m2!3d23.276775!4d-106.371444!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEQdGlyZV9yZXBhaXJfc2hvcJoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VOWE1WOUxlblZuUlJBQuABAPoBBAgAEDk!16s%2Fg%2F11rmvc8jyg?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:36.722Z
9,Llantera móvil mazatlan,4,,Taller de reparación de automóviles,"Av Gutiérrez Nájera 511-Local 8, Reforma, 82030 Mazatlán, Sin.",6691606252,,http://hospitaldelallanta.com/,,,,,"https://www.google.com/maps/place/Llantera+m%C3%B3vil+mazatlan/@23.276775,-106.5238793,12z/data=!3m1!5s0x869f536f2208ec1b:0x3ebc49bedbc3f1c8!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x869f53fbe90bfbdb:0xa9f40739497dd3f4!8m2!3d23.2102912!4d-106.4176292!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEQYXV0b19yZXBhaXJfc2hvcJoBI0NoWkRTVWhOTUc5blMwVkpRMEZuU1VOMWJFeGxNRmQzRUFF4AEA-gEECAAQHw!16s%2Fg%2F11q43263ht?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:37.766Z
10,Llantas Corgan Sa de Cv.,4.5,,Tienda de neumáticos,"A Sanalona 6066 Carrizalejo, 80080 Culiacán Rosales, Sin.",6673038753,,http://llantascorgan.com/,,,,,"https://www.google.com/maps/place/Llantas+Corgan+Sa+de+Cv./@23.276775,-106.5238793,12z/data=!3m1!5s0x869f536f2208ec1b:0x3ebc49bedbc3f1c8!4m11!1m3!2m2!1sllantera+en+mazatlan,+M%C3%A9xico!6e6!3m6!1s0x86bcd79c239c5997:0xf36e884d2dc30911!8m2!3d24.7969017!4d-107.290657!15sCh1sbGFudGVyYSBlbiBtYXphdGxhbiwgTcOpeGljb1oeIhxsbGFudGVyYSBlbiBtYXphdGxhbiBtw6l4aWNvkgEJdGlyZV9zaG9wmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVIxZVMxeVFXeDNSUkFC4AEA-gEECAAQJA!16s%2Fg%2F11c3_8bs0v?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:12:40.828Z
