position,name,rating,reviewCount,category,address,phone,email,website,instagram,facebook,whatsapp,hours,profileUrl,scrapedAt
1,Padel Capital - Monterrey,4.8,46,Club deportivo,"Carr Nacional Km 263, Los Cristales, 67300 Monterrey, N.L.",8115388895,academia@padelcapital.com.mx,http://www.padelcapital.com.mx/,instagram.com/padelcapital,facebook.com/Padelcapitalmty,,,"https://www.google.com/maps/place/PadelPark+CLN/@24.8104036,-112.2487187,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x86bcd7fcb5204341:0xccd7b1d03ce742e0!8m2!3d24.8104036!4d-107.370789!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgELcGFkZWxfY291cnSaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTm9iblZEWkZsQkVBReABAPoBBAgAED4!16s%2Fg%2F11jnmcwqhd?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:37:52.122Z
2,City Padel,4.9,46,Club de pádel,"Av. Dr. José Eleuterio González 315, Jardines del Cerro, 64060 Monterrey, N.L.",8119779782,,https://www.instagram.com/citypadelmonterrey/profilecard/?igsh=MXBqOWxtbjZuc3Jzbw==,instagram.com/rsrc.php,,,,"https://www.google.com/maps/place/City+Padel/@25.5407416,-105.098796,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x8662977f1fd0bd3f:0x51cd2e2c9d5299fa!8m2!3d25.6784573!4d-100.3505652!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgEKcGFkZWxfY2x1YpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVOM2JqVlRSMkZuRUFF4AEA-gEFCJ8BEBs!16s%2Fg%2F11wjb08_rp?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:37:54.575Z
3,Padel Park Indoor,4.8,46,Club deportivo,"Río Nazas 4109, Alfareros, 64753 Monterrey, N.L.",8115181211,,https://www.instagram.com/padelparkindoor?igsh=MW85NmhrdGo2emU0dQ==,instagram.com/rsrc.php,,,,"https://www.google.com/maps/place/Padel+Park+Indoor/@25.5407416,-105.098796,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x8662bfc13ab3088d:0x4a2292ce3d603c54!8m2!3d25.6355675!4d-100.3121559!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgELc3BvcnRzX2NsdWKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmlYMTk1ZVZKM0VBReABAPoBBAgAEEo!16s%2Fg%2F11w4hv7d65?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:37:58.326Z
4,Padel Central,4.9,46,Club deportivo,"64619 Av Paseo de los Leones #2972 Cumbres del sur 5° sector, 64610 Monterrey, N.L.",8114833938,,https://www.instagram.com/padelcentrall/?hl=es-la,instagram.com/rsrc.php,,,,"https://www.google.com/maps/place/Padel+Central/@25.5407416,-105.098796,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x866297d568f089cd:0x5cb4623fc68879fd!8m2!3d25.7223724!4d-100.392592!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgELc3BvcnRzX2NsdWKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblRVUlJaMTkxU0ZKM0VBReABAPoBBAgAEEI!16s%2Fg%2F11sn_0xrsf?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:38:01.067Z
5,Power Padel,5,46,Club deportivo,"Loma de Los Pinos 5695, 64988 Monterrey, N.L.",8114960502,,,,,,,"https://www.google.com/maps/place/Power+Padel/@25.5407416,-105.098796,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x8662c1e6e551168f:0x1026ed5b77bb8099!8m2!3d25.5913779!4d-100.254364!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgELc3BvcnRzX2NsdWKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTnNkR055VDJoM1JSQULgAQD6AQUIrAEQKQ!16s%2Fg%2F11vl7sp6lf?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:38:03.201Z
6,República Pádel,4.7,46,Club deportivo,"Blvd. Rogelio Cantú Gómez 1801, Santa María, 64650 Monterrey, N.L.",8129112576,,https://www.instagram.com/republicapadel/,instagram.com/rsrc.php,,,,"https://www.google.com/maps/place/Rep%C3%BAblica+P%C3%A1del/@25.5407416,-105.098796,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x866297e35724e967:0x6a792f5a13c56de0!8m2!3d25.6742836!4d-100.3754654!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgELc3BvcnRzX2NsdWKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMjVCTVdOVVZtbFpWR1IxVm1wc1NFMXNVWFJPVm1ONllUSnNhV0ZZWXhBQuABAPoBBAgAEEM!16s%2Fg%2F11vdd4w_t4?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:38:05.459Z
7,PADX | Padel Match Complex,4.3,46,Club deportivo,"Carr Nacional 967, Sin Nombre de Col 50, 64984 Monterrey, N.L.",8137241426,,https://tennisexpress.mx/,instagram.com/somostennisexpress,facebook.com/TennisExpressMX,,,"https://www.google.com/maps/place/PADX+%7C+Padel+Match+Complex/@25.5407416,-105.098796,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x8662c79cb20e2b75:0x59770ab30cc44386!8m2!3d25.574498!4d-100.2472853!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgELc3BvcnRzX2NsdWKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMnRLY1ZneVJuQk9ibFYzVm10NGNHSXdTbGRPVlhSWVRGaE9VbE15WXhBQuABAPoBBAgAEDM!16s%2Fg%2F11kjdr7yvp?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:38:09.244Z
8,ATIRANTADO Padel Club,4.5,46,Club de pádel,"Aaron Sáenz Garza 1918, Sin Nombre de Col 27, 64650 Monterrey, N.L.",8110250208,,https://playtomic.io/tenant/6bfb7407-24fa-4ad6-8b35-d5782f254b6b?utm_source=app_android&utm_campaign=share,instagram.com/playtomic,facebook.com/playtomic.io,,,"https://www.google.com/maps/place/ATIRANTADO+Padel+Club/@25.5407416,-105.098796,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x8662977d3ce4b33b:0xdaafe705589b586f!8m2!3d25.6732196!4d-100.3797013!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgEKcGFkZWxfY2x1YpoBI0NoWkRTVWhOTUc5blMwVkpRMEZuVFVOM2EyOXhNMHhSRUFF4AEA-gEECAAQPQ!16s%2Fg%2F11mng5n7xt?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:38:13.792Z
9,PADEL & PICKLE GM,4.9,46,Club de pádel,"Av. del Estado 1415, Tecnologico, Distrito Tec, 64849 Monterrey, N.L.",8115889535,,http://padelpicklegm.com/,instagram.com/padelpicklegm_mty,facebook.com/padelpicklegm,,,"https://www.google.com/maps/place/PADEL+%26+PICKLE+GM/@25.5407416,-105.098796,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x8662bfc1b361fc5f:0xecfd3411bc19adee!8m2!3d25.6574167!4d-100.2854968!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgEKcGFkZWxfY2x1YpoBRENpOURRVWxSUVVOdlpFTm9kSGxqUmpsdlQydG9kR05zT1V4aVYyZ3hUakJrTmxGclZtOU9WV1EyVDFoU2VXSXdSUkFC4AEA-gEECAAQSQ!16s%2Fg%2F11jyc_n9yl?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:38:21.347Z
10,Padel Club Esfera,4.2,46,Club deportivo,"Av. la Rioja, 64985 Monterrey, N.L.",8123536736,,,,,,,"https://www.google.com/maps/place/Padel+Club+Esfera/@25.5407416,-105.098796,7z/data=!4m10!1m2!2m1!1sPadel+en+Monterrey,+Mexico!3m6!1s0x8662c7f617fd59fd:0xe350ec7b4e2cdedf!8m2!3d25.5768593!4d-100.246475!15sChpQYWRlbCBlbiBNb250ZXJyZXksIE1leGljb1obIhlwYWRlbCBlbiBtb250ZXJyZXkgbWV4aWNvkgELc3BvcnRzX2NsdWKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXljbHBYUTNGQlJSQULgAQD6AQQIABAy!16s%2Fg%2F11sn_7bvtz?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-17T08:38:25.590Z
