position,name,rating,reviewCount,category,address,phone,email,website,instagram,facebook,whatsapp,hours,profileUrl,scrapedAt
1,CADI LAS AMÉRICAS,,39,Instituto de secundaria,"C. Josefa Ortiz de Domínguez 2166, La Lima, 80040 Culiacán Rosales, Sin.",,colegio.cadilasamericas@gmail.com,http://cadilasamericas.org/,instagram.com/cadilasamericas,facebook.com/cadilasamericas,526672323738,,"https://www.google.com/maps/place/CADI+LAS+AM%C3%89RICAS/@24.8304602,-107.3709056,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcd9fa3715d507:0x1c8930e7920290ee!8m2!3d24.8282819!4d-107.3761285!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvkgELaGlnaF9zY2hvb2zgAQA!16s%2Fg%2F11b6tcgf87?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:43:56.849Z
2,Instituto Senda,,39,Colegio bilingüe,"Gran Avenida El Dorado 1405 Ote, Las Quintas, 80060 Culiacán Rosales, Sin.",6677154312,,https://www.senda.edu.mx/,instagram.com/sendadelrio,facebook.com/tr,5216673324754,,"https://www.google.com/maps/place/Instituto+Senda/@24.8282819,-107.3951829,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcd9e32bc467b3:0x11bbbab772a84b42!8m2!3d24.8203254!4d-107.3737464!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvkgEYZ2VuZXJhbF9lZHVjYXRpb25fc2Nob29s4AEA!16s%2Fg%2F1tfr0wg6?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:44:04.611Z
3,Colegio Chapultepec Norte,,39,Escuela primaria,"Ramon Ponce De Leon 115 Ote., Chapultepec, 80040 Culiacán Rosales, Sin.",6677123599,alianzas@iechapultepec.org,https://fomentochapultepec.org/,instagram.com/fomentochapultepec,,,,"https://www.google.com/maps/place/Colegio+Chapultepec+Norte/@24.8422523,-107.3760077,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcda07af82eb05:0x1cb424d18791e8f7!8m2!3d24.818275!4d-107.3894262!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvkgEYZ2VuZXJhbF9lZHVjYXRpb25fc2Nob29s4AEA!16s%2Fg%2F1td25wws?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:44:11.503Z
4,"Unidad Académica Escuela de Diseño y Artes Visuales, UAS",4.6,39,Escuela universitaria,"Blvd. Francisco Labastida Ochoa 2027-A, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin.",6677581400,sau.uas@uas.edu.mx,https://carreras.uas.edu.mx/Artes_Visuales.html,instagram.com/sauasinaloa,facebook.com/profile.php,,,"https://www.google.com/maps/place/Unidad+Acad%C3%A9mica+Escuela+de+Dise%C3%B1o+y+Artes+Visuales,+UAS/@24.818275,-107.4084806,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcd9c068468103:0x25a26afe1f0081c8!8m2!3d24.8288421!4d-107.365987!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvWiYiJGVzY3VlbGFzIGVuIGN1bGlhY2FuIHJvc2FsZXMgbcOpeGljb5IBB2NvbGxlZ2WaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVTXlka3R4YUdwM1JSQULgAQD6AQQIABA5!16s%2Fg%2F11h_46bl20?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:44:15.741Z
5,Instituto Chapultepec Norte,,39,Colegio bilingüe,"Blvd, La Mirada 3050, 80014 Culiacán Rosales, Sin.",6671170413,,https://sites.google.com/ich.edu.mx/ich-norte/home,,,,,"https://www.google.com/maps/place/Instituto+Chapultepec+Norte/@24.8288421,-107.3850414,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcda004e286cb1:0xde543a9179d6c6fc!8m2!3d24.8410189!4d-107.3634678!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvkgElY29tYmluZWRfcHJpbWFyeV9hbmRfc2Vjb25kYXJ5X3NjaG9vbOABAA!16s%2Fg%2F1tj858m2?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:44:19.433Z
6,Centro Lúdico del Saber,,39,Educación mixta,"80400 Riveras del, Tamazula, 80400 Culiacán Rosales, Sin.",6672649489,,,,,,,"https://www.google.com/maps/place/Centro+L%C3%BAdico+del+Saber/@24.8288421,-107.3850414,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcd97968f90d95:0x24decdf8d1819832!8m2!3d24.8299019!4d-107.3744005!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvkgELY29lZF9zY2hvb2zgAQA!16s%2Fg%2F11rmv7fzvh?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:44:20.899Z
7,Instituto Nueva Generación,,39,Colegio privado,"Gran Avenida El Dorado 1340, Las Quintas, 80060 Culiacán Rosales, Sin.",6677124640,,http://www.institutonuevageneracion.edu.mx/,,,,,"https://www.google.com/maps/place/Instituto+Nueva+Generaci%C3%B3n/@24.8288421,-107.3850414,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcd9fcfd206215:0xb338fcb5f643fa71!8m2!3d24.8202867!4d-107.3753575!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvkgEOcHJpdmF0ZV9zY2hvb2zgAQA!16s%2Fg%2F1tdzl_kc?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:44:24.128Z
8,Instituto Jean Piaget del Rio Culiacan,,39,Colegio bilingüe,"Gran Avenida El Dorado 1669, Las Quintas, 80060 Culiacán Rosales, Sin.",6677132324,,http://ibjp.mx/,instagram.com/JeanPiagetCuliacan,facebook.com/photo,,,"https://www.google.com/maps/place/Instituto+Jean+Piaget+del+Rio+Culiacan/@24.8288421,-107.3850414,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcd9e2f4c7f077:0x9d074f87fcb56a76!8m2!3d24.8188298!4d-107.3700834!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvkgEQYmlsaW5ndWFsX3NjaG9vbOABAA!16s%2Fg%2F1tfnz0jh?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:44:31.862Z
9,Primaria Gral. Gabriel Leyva,,39,Escuela de primaria,"Obrero Campesino, 80013 Culiacán Rosales, Sin.",,,,,,,,"https://www.google.com/maps/place/Primaria+Gral.+Gabriel+Leyva/@24.8288421,-107.3850414,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcd9ceee172dbb:0x4aabea225348c8b9!8m2!3d24.8304095!4d-107.3774877!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvkgEOcHJpbWFyeV9zY2hvb2zgAQA!16s%2Fg%2F11gxxfjvmh?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:44:34.847Z
10,CEYDI PRIMARIA,,39,Escuela de primaria,"Blvrd Pedro Anaya 2050, Burócrata, 80030 Culiacán Rosales, Sin.",6677155199,,http://ceydiculiacan.com/,,,,,"https://www.google.com/maps/place/CEYDI+PRIMARIA/@24.8304095,-107.3965421,15z/data=!4m10!1m2!2m1!1sescuelas+en+CULIACAN+ROSALES,+M%C3%A9xico!3m6!1s0x86bcdb8f0d08953b:0x7ecc1e97582b8ece!8m2!3d24.8286103!4d-107.3891405!15sCiVlc2N1ZWxhcyBlbiBDVUxJQUNBTiBST1NBTEVTLCBNw6l4aWNvkgEOcHJpbWFyeV9zY2hvb2zgAQA!16s%2Fg%2F11gnpzl3mg?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA2OUgBUAM%3D",2026-01-16T18:44:41.561Z
