position,name,rating,reviewCount,category,address,phone,email,website,instagram,facebook,whatsapp,hours,profileUrl,scrapedAt
1,Plomería y Electricidad Ruiz,3.4,30,Electricista,"Calle Constitución 318-Poniente, Jorge Almada, Juan Almada, 80000 Culiacán Rosales, Sin.",6677140006,,http://www.facebook.com/plomeria.ruiz.1,,facebook.com/plomeria.ruiz.1,,,"https://www.google.com/maps/place/Plomer%C3%ADa+y+Electricidad+Ruiz/@24.8250128,-107.4392605,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x86bcda19a671864d:0x36bc7457d2eefd7d!8m2!3d24.7989728!4d-107.3984907!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvWiMiIWVsZWN0cmljaXN0YXMgZW4gbWF6YXRsYW4gbcOpeGljb5IBC2VsZWN0cmljaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJQYjE4elFVeFJFQUXgAQD6AQQIABAn!16s%2Fg%2F1tg5_1_q?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:03.996Z
2,Coseesa Eléctrica,4,30,Electricista,"Buscar en Google Maps, 80030, Agustina Ramírez 1569, Gabriel Leyva, 80030 Culiacán Rosales, Sin.",6677121042,,http://www.coseesaelectrica.com/,,,,,"https://www.google.com/maps/place/Coseesa+El%C3%A9ctrica/@24.8214067,-107.5496334,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x86bcdb8edc040577:0x2a678772e71e9e38!8m2!3d24.8214067!4d-107.3971981!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvWiMiIWVsZWN0cmljaXN0YXMgZW4gbWF6YXRsYW4gbcOpeGljb5IBC2VsZWN0cmljaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVVJRYW05WFNXVlJFQUXgAQD6AQQIABAm!16s%2Fg%2F11jjkftj8f?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:08.205Z
3,Servicios cristerna plomeria y electricidad,4.8,30,Electricista,"Juan escutia #1221 esq, C. Jorge Negrete Col, Benito Juárez, 82180 Mazatlán, Sin.",6692705016,,,,,,,"https://www.google.com/maps/place/Servicios+cristerna+plomeria+y+electricidad/@24.8214067,-107.5496334,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x869f53a6f5bd3fcb:0xd9dbac1c875abdec!8m2!3d23.2348734!4d-106.4054799!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvWiMiIWVsZWN0cmljaXN0YXMgZW4gbWF6YXRsYW4gbcOpeGljb5IBC2VsZWN0cmljaWFumgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5tT1hSbFJHWlJFQUXgAQD6AQQIABAS!16s%2Fg%2F11jn535rv6?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:08.736Z
4,Grupo Eléctrico Del Noroeste - Material Eléctrico e Iluminación LED | Eléctrica En Culiacán,5,30,Electricista,"José, Gral. José Aguilar Barraza 85-Oriente, Miguel Alemán, 80200 Culiacán Rosales, Sin.",6674188115,atencion@grupoelectrico.com.mx,https://grupoelectrico.com.mx/,instagram.com/grupoelectricodelnoroeste,facebook.com/grupoelectricodelnoroeste,,Cerrado · Abre a las 8 a.m. del vie,"https://www.google.com/maps/place/Grupo+El%C3%A9ctrico+Del+Noroeste+-+Material+El%C3%A9ctrico+e+Iluminaci%C3%B3n+LED+%7C+El%C3%A9ctrica+En+Culiac%C3%A1n/@23.2348734,-106.5579152,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x86bcd74c1d7f994d:0x6ec386badc5f5976!8m2!3d24.8003599!4d-107.3903351!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvWiMiIWVsZWN0cmljaXN0YXMgZW4gbWF6YXRsYW4gbcOpeGljb5IBF2VsZWN0cmljYWxfc3VwcGx5X3N0b3JlmgEjQ2haRFNVaE5NRzluUzBWSlEwRm5TVU5LTVZCNWVGVm5FQUXgAQD6AQQIABBJ!16s%2Fg%2F1thw_wwn?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:10.920Z
5,Nicolas Mojica (electricista),5,30,Electricista,"82190, Ricardo Flores Magón, 82190 Mazatlán, Sin.",6691585649,,,,,,,"https://www.google.com/maps/place/Nicolas+Mojica+(electricista)/@24.8003599,-107.5427704,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x869f52dd84ce3d6b:0x15160747ad41a91!8m2!3d23.2465866!4d-106.3853771!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvkgELZWxlY3RyaWNpYW7gAQA!16s%2Fg%2F1tpbcdyj?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:11.451Z
6,Instalaciones Eléctricas Aramburo,4.9,30,Electricista,,6691108203,,,,,,,"https://www.google.com/maps/place/Instalaciones+El%C3%A9ctricas+Aramburo/@23.2465866,-106.5378124,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x869f5399f63b8fd3:0x3178831e40e341a5!8m2!3d23.2473025!4d-106.4082259!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvkgELZWxlY3RyaWNpYW7gAQA!16s%2Fg%2F1tm0tln0?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:11.786Z
7,Instalaciones Eléctricas,5,30,Electricista,"Av. del Sol 5804, Esperanza, 82180 Mazatlán, Sin.",6699846784,,,,,,,"https://www.google.com/maps/place/Instalaciones+El%C3%A9ctricas/@23.2465866,-106.5378124,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x869f52c5f2a8d319:0x49ce8a9df34debd6!8m2!3d23.2575593!4d-106.3772697!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvkgELZWxlY3RyaWNpYW7gAQA!16s%2Fg%2F1td_z0pw?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:12.121Z
8,Servicios de Electricidad,5,30,Electricista,"Tucan 303, Francisco Alarcón, 82132 Mazatlán, Sin.",6694314662,chuyitomartin@hotmail.com,https://servicios-de-electricidad.ueniweb.com/?utm_campaign=gmb,,facebook.com/share.php,,,"https://www.google.com/maps/place/Servicios+de+Electricidad/@23.2465866,-106.5378124,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x869f533c77779edb:0xb42a4ec46f1b79cc!8m2!3d23.2721208!4d-106.4121677!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvkgELZWxlY3RyaWNpYW7gAQA!16s%2Fg%2F11ft194_47?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:13.475Z
9,Preyc Electricidad,5,30,Electricista,"Marsella 16001, Costa Azul, 82164 Mazatlán, Sin.",6691557158,,http://preycelectricidad.com/,,,,,"https://www.google.com/maps/place/Preyc+Electricidad/@23.2465866,-106.5378124,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x869f53c1e8cf3655:0x7953b0f5f92c112c!8m2!3d23.259285!4d-106.392822!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvkgELZWxlY3RyaWNpYW7gAQA!16s%2Fg%2F11fjzblpnl?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:14.837Z
10,ELECTRICIDAD INDUSTRIAL SÁNCHEZ,,30,Servicio de instalación eléctrica,"Corl. Trillo 18, Francisco Villa, 82127 Mazatlán, Sin.",6691493148,,,,,,,"https://www.google.com/maps/place/ELECTRICIDAD+INDUSTRIAL+S%C3%81NCHEZ/@23.2465866,-106.5378124,12z/data=!4m10!1m2!2m1!1selectricistas+en+mazatlan,+M%C3%A9xico!3m6!1s0x869f53cf203b7c0d:0x7eccf09a173e0d8!8m2!3d23.2572662!4d-106.4262837!15sCiJlbGVjdHJpY2lzdGFzIGVuIG1hemF0bGFuLCBNw6l4aWNvkgEfZWxlY3RyaWNhbF9pbnN0YWxsYXRpb25fc2VydmljZeABAA!16s%2Fg%2F11msdngkkp?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T06:28:15.371Z
