position,name,rating,reviewCount,category,address,phone,email,website,instagram,facebook,whatsapp,hours,profileUrl,scrapedAt
1,Venza Plus Bienes Raíces,5,109,Agencia de bienes inmuebles comerciales,"Plaza Musala, Blvd. Isla Musalá 1430-Local 11, Plaza Musala, Centro, 80065 Culiacán Rosales, Sin.",6672372307,,https://www.venzaplusbienesraices.com/,,,,,"https://www.google.com/maps/place/Venza+Plus+Bienes+Ra%C3%ADces/@24.8251119,-107.3741824,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcd12ef0cadfb9:0x98bca1d6123b5483!8m2!3d24.8235213!4d-107.3708252!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb1oqIihhZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gY3VsaWFjYW4gbWV4aWNvkgEdY29tbWVyY2lhbF9yZWFsX2VzdGF0ZV9hZ2VuY3maASNDaFpEU1VoTk1HOW5TMFZLZVcxeU5HRTVjalp4VjFsQkVBReABAPoBBAgAEDc!16s%2Fg%2F11ll9y3rx7?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:44:23.873Z
2,JOM asesoría inmobiliaria,4.6,50,Agencia de bienes inmuebles comerciales,"Blvrd Sinaloa, Las Quintas, 80060 Culiacán Rosales, Sin.",6677513711,jomasesoria@gmail.com,https://jominmobiliaria.wiggot.com/,instagram.com/jomasesoriainmobiliaria,facebook.com/jomasesoriainmobiliaria,,,"https://www.google.com/maps/place/JOM+asesor%C3%ADa+inmobiliaria/@24.8235213,-107.408934,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcd9c75171637d:0x8d299c8870a036cc!8m2!3d24.8168105!4d-107.372852!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb1oqIihhZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gY3VsaWFjYW4gbWV4aWNvkgEdY29tbWVyY2lhbF9yZWFsX2VzdGF0ZV9hZ2VuY3maASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVUTVjM1ZUUTBwM0VBReABAPoBBAgAEEI!16s%2Fg%2F11h_3yspf7?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:44:27.367Z
3,Gaxiola Inmobiliaria,4.8,50,Agencia inmobiliaria,"Carlos Lineo 2217-2, Burócrata, Chapultepec, 80040 Culiacán Rosales, Sin.",6676887620,contacto@gaxiolainmobiliaria.com,https://gaxiolainmobiliaria.com/,instagram.com/gaxiolainmobiliaria,facebook.com/Gaxiolainmobiliaria,526676887620,,"https://www.google.com/maps/place/Gaxiola+Inmobiliaria/@24.8235213,-107.408934,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcdb26f46b7c95:0x18007bb3a545a511!8m2!3d24.8294328!4d-107.3887939!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb5IBEnJlYWxfZXN0YXRlX2FnZW5jeeABAA!16s%2Fg%2F11h7ntq52w?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:44:32.470Z
4,Fincax Inmobiliaria,5,50,Agencia inmobiliaria,"Plaza las palmas, C. Josefa Ortiz de Domínguez 571-Local 10, Chapultepec, 80040 Culiacán Rosales, Sin.",6671603385,,https://www.facebook.com/Fincax.inmobiliaria,,facebook.com/Fincax.inmobiliaria,,,"https://www.google.com/maps/place/Fincax+Inmobiliaria/@24.8235213,-107.408934,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcdb51faeec831:0x7592de8a7d50e71e!8m2!3d24.8212903!4d-107.3890369!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb1oqIihhZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gY3VsaWFjYW4gbWV4aWNvkgEScmVhbF9lc3RhdGVfYWdlbmN5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5UVU4zT1hWRE5taDNSUkFC4AEA-gEECAAQPA!16s%2Fg%2F11tb6r5l82?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:44:35.171Z
5,KwPluss Culiacan,5,50,Agentes inmobiliarios,"Prol. Álvaro Obregón 768, Primer Cuadro, Centro, 80000 Culiacán Rosales, Sin.",6676882129,,,,,,,"https://www.google.com/maps/place/KwPluss+Culiacan/@24.8235213,-107.408934,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcdb75c73774dd:0x20e03177b309bc3!8m2!3d24.8116349!4d-107.3949408!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb1oqIihhZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gY3VsaWFjYW4gbWV4aWNvkgEScmVhbF9lc3RhdGVfYWdlbnRzmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVU51YlRWRVZqRkJSUkFC4AEA-gEECAAQNQ!16s%2Fg%2F11gwlcvpp3?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:44:38.222Z
6,3r Bienes Raíces,5,50,Agencia inmobiliaria,"Gran Avenida El Dorado 1641-Local 12, Las Quintas, 80060 Culiacán Rosales, Sin.",6677550542,,http://3rbienesraices.com/,,,,,"https://www.google.com/maps/place/3r+Bienes+Ra%C3%ADces/@24.8116349,-107.4330496,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcd9cf56f471c7:0x4152919a260748fe!8m2!3d24.8191646!4d-107.3724157!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb1oqIihhZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gY3VsaWFjYW4gbWV4aWNvkgEScmVhbF9lc3RhdGVfYWdlbmN5mgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJ0ZW1WTVlUbDNSUkFC4AEA-gEECAAQHA!16s%2Fg%2F11pwxlh9qx?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:44:49.043Z
7,AISIN ASESORES,,50,Agencia inmobiliaria,"Calle Gral Rafael Buelna Tenorio 1142, Las Quintas, 80060 Culiacán Rosales, Sin.",6672376768,contacto@aisinasesores.com,http://aisinasesores.com/,instagram.com/aisinsinaloa,facebook.com/aisinasesoresinmobiliarios,,,"https://www.google.com/maps/place/AISIN+ASESORES/@24.8116349,-107.4330496,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcd796690ad53d:0x7041f1683e829fac!8m2!3d24.8121913!4d-107.3801772!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb5IBEnJlYWxfZXN0YXRlX2FnZW5jeeABAA!16s%2Fg%2F11kk7zct43?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:44:53.708Z
8,MASTONII bienes raices y construccion,3,50,Agencia inmobiliaria,"Prol. Álvaro Obregón 24-interior 7, Primer Cuadro, plaza paladio, 80000 Culiacán Rosales, Sin.",6671056185,mastoniibienesraices@gmail.com,http://mastonii.wiggot.com/,instagram.com/mastoniibienesraices,facebook.com/mastoniibienesraices,,,"https://www.google.com/maps/place/MASTONII+bienes+raices+y+construccion/@24.8116349,-107.4330496,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcd12774ff7f01:0x7ac309e55e5e648b!8m2!3d24.8042766!4d-107.3940308!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb5IBEnJlYWxfZXN0YXRlX2FnZW5jeeABAA!16s%2Fg%2F11mhwqx8_l?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:44:57.786Z
9,Bosques De Imala Campestre,4.5,50,Agentes inmobiliarios,"Carretera A Imala 2771, Los Angeles Fracc-Local 8, 80014 Culiacán Rosales, Sin.",6672032782,jsr-1213@hotmail.com,https://bosques-de-imala-campestre.ueniweb.com/?utm_campaign=gmb,,facebook.com/share.php,,,"https://www.google.com/maps/place/Bosques+De+Imala+Campestre/@24.8116349,-107.4330496,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcd9adce27850b:0xe3aeb620e3fbfaaa!8m2!3d24.8401473!4d-107.3610824!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb1oqIihhZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gY3VsaWFjYW4gbWV4aWNvkgEScmVhbF9lc3RhdGVfYWdlbnRzmgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJHZFhSRWJEQlJSUkFC4AEA-gEECAAQKQ!16s%2Fg%2F11j02zprlh?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:45:01.743Z
10,Gya inmobiliaria,5,50,Agencia inmobiliaria,"Av. Gral. Mariano Arista Nte. 2045, Burócrata, 80030 Culiacán Rosales, Sin.",6673360588,atcgyainmobiliaria@gmail.com,https://gyainmobiliariabr.wiggot.com/,instagram.com/tugyainmobiliaria,facebook.com/tugyainmobiliario,,,"https://www.google.com/maps/place/Gya+inmobiliaria/@24.8401473,-107.3991912,14z/data=!4m10!1m2!2m1!1sAgentes+inmobiliarios+en+Culiacan,+Mexico!3m6!1s0x86bcdb89bc4ee25b:0x6861c183ab82579b!8m2!3d24.8270944!4d-107.3907359!15sCilBZ2VudGVzIGlubW9iaWxpYXJpb3MgZW4gQ3VsaWFjYW4sIE1leGljb5IBEnJlYWxfZXN0YXRlX2FnZW5jeeABAA!16s%2Fg%2F11ls9qqfhq?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoKLDEwMDc5MjA3M0gBUAM%3D",2026-01-17T08:45:05.653Z
