position,name,rating,reviewCount,category,address,phone,email,website,instagram,facebook,whatsapp,hours,profileUrl,scrapedAt
1,Polaris Culiacán,4.4,44,Concesionario de motos,"BLVD. DIEGO VALADEZ POSTE 26, La Lima, 80040 Culiacán Rosales, Sin.",6677160597,,http://www.polarisculiacan.com/,instagram.com/polaris_culiacan,facebook.com/PolarisMexico,526671269087,,"https://www.google.com/maps/place/Polaris+Culiac%C3%A1n/@24.8192736,-107.4181191,14z/data=!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd9fbfb6a2909:0xc6730a0ba7dc9882!8m2!3d24.823503!4d-107.378581!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvkgERbW90b3JjeWNsZV9kZWFsZXLgAQA!16s%2Fg%2F11crzfxwqs?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:36:50.571Z
2,Renault Culiacán Grupo del Rincón,4.7,44,Concesionario de automóviles,"De Los Insurgentes 1228-Sur, Centro Sinaloa, Colonia Centro, 80000 Culiacán Rosales, Sin.",6677156677,,https://www.renaultculiacan.mx/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,instagram.com/renault_cln,facebook.com/renaultculiacan,,,"https://www.google.com/maps/place/Renault+Culiac%C3%A1n+Grupo+del+Rinc%C3%B3n/@24.8156525,-107.4485871,14z/data=!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd18fca2cab7f:0x334df48c189c2cd7!8m2!3d24.7940989!4d-107.412062!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvWiYiJGFnZW5jaWFzIGRlIGF1dG9zIGVuIGN1bGlhY2FuIG1leGljb5IBCmNhcl9kZWFsZXKaAURDaTlEUVVsUlFVTnZaRU5vZEhsalJqbHZUMmt4V1ZwSGJFbE1XR1JPVmtoV2FGTnNhRE5QUlVaSFYwWkJkMVpyUlJBQuABAPoBBAgAEC4!16s%2Fg%2F11gxh48qs0?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:36:56.492Z
3,FORD AUTOS Y TRACTORES DE CULIACAN,4.4,44,Concesionario Ford,"Blvd. Pedro Infante 2598 - A, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin.",6677588899,sistemas@fordculiacan.com,http://www.fordatcsa.mx/,,facebook.com/FORDCULIACAN,526671077258,,"https://www.google.com/maps/place/FORD+AUTOS+Y+TRACTORES+DE+CULIACAN/@24.8156525,-107.4485871,14z/data=!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd0b7376bfc43:0xf0ec243f0f9d5775!8m2!3d24.7993962!4d-107.4188097!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvWiYiJGFnZW5jaWFzIGRlIGF1dG9zIGVuIGN1bGlhY2FuIG1leGljb5IBC2ZvcmRfZGVhbGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVJsZEY5cGNIcFJSUkFC4AEA-gEECAAQSA!16s%2Fg%2F1tctm6wd?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:37:00.602Z
4,Auto premium seminuevos,5,44,Concesionario de automóviles,"C. Miguel Hidalgo 1397, Miguel Hidalgo, Aurora, 80060 Culiacán Rosales, Sin.",6674212126,,,,,,,"https://www.google.com/maps/place/Auto+premium+seminuevos/@24.8156525,-107.4485871,14z/data=!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd78fd103dfd5:0xb7aa3817b5a95434!8m2!3d24.8083123!4d-107.3731167!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvWiYiJGFnZW5jaWFzIGRlIGF1dG9zIGVuIGN1bGlhY2FuIG1leGljb5IBCmNhcl9kZWFsZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmxka3h0UzA1bkVBReABAPoBBAgAEDQ!16s%2Fg%2F11s7rhj0pq?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:37:02.472Z
5,Mitsubishi Culiacán,4.7,44,Concesionario de automóviles,"Blvd. Pedro Infante 2301-L-2, Col. Jardines, Desarrollo Urbano Tres Ríos, 80100 Culiacán Rosales, Sin.",6675495050,,https://www.mitsubishi-culiacan.mx/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,instagram.com/mitsubishi.culiacan,facebook.com/mitsubishigdr.culiacan,526672971482,,"https://www.google.com/maps/place/Mitsubishi+Culiac%C3%A1n/@24.8083123,-107.4112255,14z/data=!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd1551e310499:0xd20da6ef2a9a68f8!8m2!3d24.8031889!4d-107.4124831!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvWiYiJGFnZW5jaWFzIGRlIGF1dG9zIGVuIGN1bGlhY2FuIG1leGljb5IBCmNhcl9kZWFsZXKaASRDaGREU1VoTk1HOW5TMFZKUTBGblNVUmxlVTlYTVhOUlJSQULgAQD6AQQIABA3!16s%2Fg%2F11hstg2305?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:37:05.480Z
6,Toyota Culiacán,4.5,44,Concesionario Toyota,"Blvd. Pedro Infante 2531-Pte, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin.",6677616161,hmartinez@toyotaculiacan.com.mx,http://www.toyotaculiacan.com.mx/,instagram.com/toyotaculiacan,facebook.com/tr,,,"https://www.google.com/maps/place/Toyota+Culiac%C3%A1n/@24.8031889,-107.4505919,14z/data=!3m1!5s0x86bcd090a8f34da9:0x3ffc0aa3cddbe23b!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcda2e787d1bef:0x3f74459b734e1083!8m2!3d24.8005532!4d-107.415081!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvWiYiJGFnZW5jaWFzIGRlIGF1dG9zIGVuIGN1bGlhY2FuIG1leGljb5IBDXRveW90YV9kZWFsZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTTFNR0ZEVG1WM0VBReABAPoBBAgAEDs!16s%2Fg%2F1tj1sjj8?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:37:09.267Z
7,"MC MOTORS, seminuevos, autos usados, autos en culiacan",4.2,44,Tienda de vehículos de segunda mano y de ocasión,"Teresa Villegas, Esquina con Francisco la Bastida Ochoa (Malecón Nuevo) #85 pte, Desarrollo Urbano Tres Ríos, 80020 Culiacán Rosales, Sin.",6671055456,,https://www.seminuevosymas.com/sinaloa/culiacan/mcmotor/,,facebook.com/seminuevosymas,,,"https://www.google.com/maps/place/MC+MOTORS,+seminuevos,+autos+usados,+autos+en+culiacan/@24.8031889,-107.4505919,14z/data=!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd743eafcca4d:0xb24a93c76d751db7!8m2!3d24.8142873!4d-107.3969842!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvWiYiJGFnZW5jaWFzIGRlIGF1dG9zIGVuIGN1bGlhY2FuIG1leGljb5IBD3VzZWRfY2FyX2RlYWxlcpoBJENoZERTVWhOTUc5blMwVkpRMEZuU1VSS05YSjFaSGxCUlJBQuABAPoBBAgAEA0!16s%2Fg%2F11c55v9gcp?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:37:11.879Z
8,Skywell Culiacan,5,44,,"Blvd. Francisco Labastida Ochoa 1109, La Lima, 80040 Culiacán Rosales, Sin.",6677121201,,,,,,,"https://www.google.com/maps/place/Skywell+Culiacan/@24.8031889,-107.4505919,14z/data=!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcdb3e9fea34c3:0x5d5ad169225cec17!8m2!3d24.8241241!4d-107.3777057!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvkgEQc21hcnRfY2FyX2RlYWxlcuABAA!16s%2Fg%2F11sv_70k7h?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:37:16.388Z
9,EuroCity S.A. de C.V.,4.3,44,Concesionario Volkswagen,"Blvd. Emiliano Zapata 455 Pte, Guadalupe, 80220 Culiacán Rosales, Sin.",6677595555,mi.nombre@ejemplo.com,http://vw-eurocity.com.mx/,instagram.com/eurocityvw,facebook.com/EuroCityZapata,526671393504,,"https://www.google.com/maps/place/EuroCity+S.A.+de+C.V./@24.8241241,-107.4158145,14z/data=!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcd0b98501be4f:0x12c629f9589900a3!8m2!3d24.7967359!4d-107.3989187!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvWiYiJGFnZW5jaWFzIGRlIGF1dG9zIGVuIGN1bGlhY2FuIG1leGljb5IBEXZvbGtzd2FnZW5fZGVhbGVymgEkQ2hkRFNVaE5NRzluUzBWSlEwRm5TVVF0YzFwdVpXcDNSUkFC4AEA-gEECAAQSA!16s%2Fg%2F11rb0_zy1?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:37:19.294Z
10,BYD Culiacán,4.9,44,,"Blvrd Enrique Sánchez Alonso 1849, Desarrollo Urbano Tres Ríos, 80027 Culiacán Rosales, Sin.",6675020021,,https://bydsinaloa.com.mx/,instagram.com/byd.delrincon,facebook.com/BYDSinaloa,,,"https://www.google.com/maps/place/BYD+Culiac%C3%A1n/@24.7967359,-107.4370275,14z/data=!4m11!1m3!2m2!1sAgencias+de+autos+en+Culiacan,+Mexico!6e6!3m6!1s0x86bcdb60b07f1da3:0xfb925f0ef8bd9596!8m2!3d24.8206929!4d-107.4011921!15sCiVBZ2VuY2lhcyBkZSBhdXRvcyBlbiBDdWxpYWNhbiwgTWV4aWNvWiYiJGFnZW5jaWFzIGRlIGF1dG9zIGVuIGN1bGlhY2FuIG1leGljb5IBEHNtYXJ0X2Nhcl9kZWFsZXKaASNDaFpEU1VoTk1HOW5TMFZKUTBGblNVTmZOWEV6VEZWQkVBReABAPoBBAgAEB0!16s%2Fg%2F11wvbt7hrn?entry=ttu&g_ep=EgoyMDI2MDExMy4wIKXMDSoASAFQAw%3D%3D",2026-01-16T23:37:22.537Z
